,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Sample Weight,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage,Match,Pack size
377,24.0,cauliflower,24.5,"Sainsbury’s, cauliflower ",Sainsbury’s ,990.5,17.10.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 17.10.2011 
378,24.0,cauliflower,nan,"Morrisons, cauliflower ",Morrisons ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Morrisons , Norwich ",18-Oct,19-Oct,6321 016223623 ,,Ambient ,Refrigerated ,1.0,2.5kg 
379,24.0,cauliflower,24.7,"The Co -operative, cauliflower ",The Co -op ,749.1,17.10.2011 ,"The Co -operative , Earlham Green Lane , Norwich ",17-Oct,19-Oct,M253 ,Plastic ,Ambient ,Refrigerated ,1.0,1 cauliflower 
380,24.0,cauliflower,24.9,"Sainsbury’s, basics, cauliflower ",Sainsbury’s basics ,730.6,17.10.2011 ,"Sainsbury’s, Longwater , Norwich ",17-Oct,19-Oct,M0259A ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 17.10.2011 
381,24.0,cauliflower,24.1,Greengrocer’s cauliflower ,Pack size: ,1123.0,17.10.2011 ,"Independent greengrocer , Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,Refrig erated ,1.0,Purchase Date: 17.10.2011 
382,24.0,cauli flower,24.11,"Farm Fresh, cauliflower ",Farm Fresh ,Counts x2 ,17.10.2011 ,"Booker , Norwich ",Best Before Date: ,Batch Number: 31/2 A22511 ,31/2 A22511 ,Plastic ,Refrigerated ,Refrigerated ,0.0,Counts x2 
383,24.0,cauliflower,24.12,"Tesco, cauliflower ",Tesco ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Tesco, Blue Boar Road , Norwich ",11-Jan,13-Jan,Supplier code: DG01 00385 01481  007204638 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
384,24.0,cauliflower,24.13,"Tesco, extra large cauliflower ",Tesco ,Purchase Date: 09.01.2012 ,09.01.2012 ,,12-Jan,Batch Number: Supplier code DG01  0278 ,Supplier code DG01  0278 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
385,24.0,cauliflower,24.14,"Asda, cauliflower florets ",Asda ,400g ,09.01.2012 ,"Asda , Norwich ",10-Jan,12-Jan,730000 ASL0804568 ,Plastic ,,Refrigerated ,0.0,400g 
386,24.0,cauliflower,24.15,"Asda, extra large cauliflower ",Asda ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Asda , Norwich ",12-Jan,14-Jan,700018,Plastic ,,Refrigerated ,0.0,Purchase Date: 09.01.2012 
387,24.0,cauliflow er,24.16,"Sainsbury’s, cauliflower ",Sainsbury’s ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: 10 Jan ,10-Jan,,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
388,24.0,cauliflower,24.17,"Morrisons, cauliflower ",Morrisons ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Morrisons , Norwich ",10-Jan,11-Jan,1945,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 09.01.2012 
389,24.0,cauliflower,24.19,,Aldi ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: L0205 Supplier no:939  E38081 ,L0205 Supplier no:939  E38081 ,Plastic ,,Refrigerated ,0.0,Purchase Date: 09.01.2012 
390,,cauliflower,24.2,"Sainsbury’s, basics, cauliflower ",Sainsbury’s basics ,881.2,09.01.2012 ,"Sainsbury’s, Longwa ter, Norwich ",10-Jan,12-Jan,M0259A ,Plastic ,Ambient ,Refrigerated ,1.0,Purchase Date: 17.10.2011 
391,24.0,cauliflower,24.21,Market cauliflower ,Pack size: ,Purchase Date: 09.01.2012 ,09.01.2012 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: ,Sample Condition As Purchased: Ambient ,Ambient ,,0.0,Purchase Date: 09.01.2012 
392,25.0,cauliflower,25.1,"Tesco, Lincolnshire extra large cauliflower ",Tesco ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Tesco, Harford Bridges , Norwich ",20-Oct,Batch Number: Supplier code: CE ,Supplier code: CE ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 17.10.2011 
393,25.0,cauliflower,25.2,"Tesco, Lincolnshire cauliflower ",Tesco ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Tesco, Harford Bridges , Norwich ",21-Oct,23-Oct,Supplier code: CE 003892330 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 17.10.2011 
394,25.0,cauliflower,25.3,"Asda, British cauliflower ",Asda ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Asda , Norwich ",21-Oct,23-Oct,730000,Plastic ,,Refrigerated ,0.0,Purchase Date: 17.10.2011 
395,25.0,cauliflower,nan,"Asda, cauliflower florets ",Asda ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Asda , Norwich ",20-Oct,22-Oct,730000,Plastic ,Ambient ,Refrigerated ,1.0,2.5kg 
396,25.0,cauliflower,25.5,"Sainsbury’s, cauliflower ",Sainsbury’s ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Sainsbury’s, Longwater , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 17.10.2011 
397,25.0,cauliflower,25.6,"Morrisons, cauliflower ",Morrisons ,Purchase Date: 17.10.2011 ,17.10.2011 ,"Morrisons , Norwic h ",18-Oct,19-Oct,6321 016223623 ,Plastic ,Ambient ,Refrigerated ,0.0,Purchase Date: 17.10.2011 
398,25.0,cauliflower,25.7,"The Co -operative, cauliflower ",The Co -op ,1 cauliflower ,17.10.2011 ,"The Co -operative , Earlham Green Lane , Norwich ",17-Oct,19-Oct,M253 ,Plastic ,Ambient ,Refrigerated ,0.0,1 cauliflower 
