,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
321,45.0,"radish, raw  ",45.1,Farm Shop radishes  ,16.0,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Loose/bunch  ,240g  
322,48.0,"raisins, dried  ",48.1,Tesco Californian seedless raisins  ,0.7,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Mixed material  ,500g  
323,48.0,"raisins, dried  ",48.2,Tesco Whole Foods thompson raisins  ,1.3,27.11.15  ,Tesco online delivery  ,Plastic  ,150g  
324,48.0,"raisins, dried  ",48.3,Asda Chosen  by Kids 12 mini raisin snack boxes  ,0.5,30.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,168g (12x14g)  
325,48.0,"raisins, dried  ",48.4,Sainsbury’s jumbo raisin mix  ,1.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,250g  
326,48.0,"raisins, dried  ",48.5,Morrisons raisins  ,0.4,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
327,48.0,"raisins, dried  ",48.6,Belbake Californian seedless raisins  ,0.4,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Plastic  ,500g  
328,48.0,"raisins, dried  ",48.7,Holland & Barrett genius seedless raisins  ,0.5,19.12.15  ,"Holland & Barrett, Camberwell Green, London  ",Plastic  ,250g  
329,48.0,"raisins, dried  ",48.8,Curtis raisins  ,0.5,16.11.15  ,"Booker, Norwich  ",Plastic  ,2kg 
330,48.0,"raisins, dried  ",48.9,Whitworths sunny raisin  ,0.3,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Plastic  ,112g (8x14g)  
331,48.0,"raisins, dried  ",48.1,Sun Maid natural California raisins  ,0.7,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,500g  
332,3.0,"raspberries, raw  ",3.1,Tesco British raspberries  ,3.9,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,150g  
333,3.0,"raspberries, raw  ",3.2,Tesco raspberries  ,4.9,02.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,150g  
334,3.0,"raspberries, raw  ",3.3,Asda Grower’s Selection raspberries  ,150g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,150g  
335,3.0,"raspberries, raw  ",3.4,Sainsbury’s Taste the Difference British raspberries  ,7.3,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,150g  
336,3.0,"raspberries, raw  ",3.5,Morrisons raspberries  ,3.7,11.08.15  ,"Morrisons, Norwich  ",Plastic  ,150g  
337,3.0,"raspberries, raw  ",3.6,Essential Waitrose raspberries  ,3.8,05.11.15  ,"Waitrose, Wymondham  ",Plastic  ,160g  
338,3.0,"raspberries, raw  ",3.7,Nature’s Fruit raspberries  ,5.7,11.08.15  ,"Aldi, Larkman Lane, Norwich  ",Plastic  ,150g  
339,3.0,"raspberries, raw  ",3.8,Asda Grower’s Selection raspberries  ,5.7,02.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,150g  
340,3.0,"raspberries, raw  ",3.9,The Co -operative Loved by Us Scottish raspberries  ,5.4,11.08.15  ,"The Co -operative, Unthank Road, Norwich  ",Plastic  ,150g  
341,3.0,"raspberries, raw  ",nan,Greengrocer raspberries  ,Purchase Date:  ,11.08.15  ,"Independent greengrocer, Norwich  ",Plastic  ,Purchase Date:  
342,3.0,"raspberries, raw  ",3.11,Berries R Us Portuguese raspberries  ,3.8,24.08.15  ,Bidvest Foodservice delivery  ,Plastic  ,125g  
343,51.0,"red kidney beans, dried, boiled  ",51.1,Tesco Whole Foods kidney beans  ,100.0,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Mixed material  ,500g  
344,51.0,"red kidney beans, dried, boiled  ",51.2,Tesco Whole Foods kidney beans  ,100.0,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Mixed material  ,500g  
345,51.0,"red kidney beans, dried, boiled  ",51.3,Asda Good & Balanced kidney beans  ,99.7,09.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
346,51.0,"red kidney beans, dried, boiled  ",51.4,Sainsbury’s red kidney beans  ,100.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
347,51.0,"red kidney beans, dried, boiled  ",51.5,Morrisons Wholefoods red kidney beans  ,100.0,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
348,51.0,"red kidney beans, dried, boiled  ",51.6,Waitrose Love Life red kidney beans  ,100.0,18.11.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,500g  
349,,"red kidney beans, dried, boiled  ",51.7,TRS red kidney beans  ,100.3,30.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
350,51.0,"red kidney beans, dried, boiled  ",51.8,KTC red kidney beans  ,100.2,16.11.15  ,"Booker, Norwich  ",Plastic  ,2kg 
351,51.0,"red kidney beans, dried, boiled  ",51.9,East End dark red kidney beans  ,99.9,02.12.15  ,East End online order  ,Plastic  ,500g  
352,51.0,"red kidney beans, dried, boiled  ",51.1,Island Sun red kidney beans  ,100.0,27.11.15  ,Tesco online delivery  ,Plastic  ,500g  
353,52.0,"red kidney beans, canned, reheated  ",52.1,,256.4,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
354,52.0,"red kidney beans, canned, reheated  ",52.2,Tesco Everyday Value red kidney beans in water  ,253.6,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
355,52.0,"red kidney beans, canned, reheated  ",52.3,Asda Good & Balanced red kidney beans in water  ,265.3,16.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,400g; drained weight: 240g  
356,52.0,"red kidney beans, canned, reheated  ",52.4,Sainsbury’s red kidney beans in water  ,269.0,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Metal  ,400g; drained weight: 240g  
357,52.0,"red kidney beans, canned, reheated  ",52.5,Morrisons red kidney beans  ,251.4,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Metal  ,400g; drained weight: 240g  
358,52.0,"red kidney beans, canned, reheated  ",52.6,Campo Largo red kidney beans in water  ,248.1,09.11.15  ,"Lidl, Drayton Road, Norwich  ",Metal  ,Net weight: 420g; drained weight: 240g  
359,52.0,"red kidney beans, canned, reheated  ",52.7,Essential Waitrose red kidney beans in water  ,239.2,18.11.15  ,"Waitrose, Wymondham , Norfolk  ",Metal  ,400g; net drained weight: 240g  
360,52.0,"red kidney beans, canned, reheated  ",52.8,Chef’s Larder red kidney beans in water  ,497.1,16.11.15  ,"Booker, Norwich  ",Steel  ,Net weight: 800g; drained weight: 480g  
361,52.0,"red kidney beans, canned, reheated  ",52.9,Napolina red kidney beans in water  ,556.4,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
362,52.0,"red kidney beans, canned, reheated  ",52.1,Napolina red kidney beans in water  ,256.4,16.11.15  ,"Booker, Norwich  ",Metal  ,Net weight: 400g; drained weight: 240g  
363,43.0,"rhubarb, stewed without sugar  ",43.1,Tesco British rhubarb  ,205.2,17.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,400g  
364,43.0,"rhubarb, stewed without sugar  ",43.2,Tesco British rhubarb  ,109.6,16.10.15  ,,Plastic  ,400g  
365,43.0,"rhubarb, stewed without sugar  ",43.3,Asda Grower’s Selection British rhubarb  ,130.5,17.08.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,400g  
366,43.0,"rhubarb, stewed without sugar  ",43.4,Sainsbury’s British rhubarb  ,97.6,17.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,400g  
367,43.0,"rhubarb, stewed without sugar  ",43.5,Sainsbury’s British rhubarb  ,117.6,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,400g  
368,43.0,"rhubarb, stewed without sugar  ",43.6,Morrisons Yorkshire rhubarb  ,63.4,17.08.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,450g  
369,43.0,"rhubarb, stewed without sugar  ",43.7,Waitrose Cooks’ Ingredients particularly pink forced ,63.4,05.01.16  ,"Waitrose, Eaton , Norwich  ",Plastic  ,400g  
370,43.0,"rhubarb, stewed without sugar  ",43.8,Swithenbank rhubarb  ,120.1,24.08.15  ,Bidvest Foodservice delivery  ,Loose in paper  ,1kg 
371,43.0,"rhubarb, stewed without sugar  ",43.9,,55.7,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,400g  
372,43.0,"rhubarb, stewed without sugar  ",43.1,Tesco rhubarb  ,205.2,05.01.16  ,,Plastic  ,400g  
373,43.0,"rhubarb, stewed without sugar  ",43.11,Morrisons Yorkshire rhubarb  ,120.1,02.02.16  ,"Morrisons, Wymondham , Norfolk  ",Plastic  ,400g  
374,40.0,"runner beans, fresh, boiled  ",40.1,Tesco British runner beans  ,30.4,11.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,255g  
375,40.0,"runner beans, fresh, boiled  ",40.2,Tesco runner beans  ,24.6,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,255g  
376,40.0,"runner beans, fresh, boiled  ",40.3,Asda Grower’s Selection runner beans  ,22.5,09.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,190g  
377,40.0,"runner beans, fresh, boiled  ",40.4,Sainsbury’s runner beans  ,26.3,09.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,225g  
378,40.0,"runner beans, fresh, boiled  ",40.5,Morrisons runner beans  ,24.2,30.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,180g  
379,40.0,"runner beans, fresh, boiled  ",40.6,Simply M&S runner beans  ,22.8,09.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,300g  
380,40.0,"runner beans, fresh, boiled  ",40.7,Wood Farm runner beans  ,21.7,11.08.15  ,"Aldi, Larkman Lane, Norwich  ",Plastic  ,250g  
381,40.0,"runner beans, fresh, boiled  ",40.8,Asda Grower’s Selection runner beans  ,22.3,16.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,190g  
382,40.0,"runner beans, fresh, boiled  ",40.9,The Co -operative Loved by Us runner beans  ,21.4,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Plastic  ,180g  
383,40.0,"runner beans, fresh, boiled  ",40.1,Greengrocer runner beans  ,30.4,11.08.15  ,"Independent greengrocer, Gloucester Street, Norwich  ",Loose  ,255g  
384,40.0,"runner beans, fresh, boiled  ",40.11,Morrisons runner beans  ,24.3,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,180g  
385,,"swede, fresh, boiled  ",35.1,Tesco British small swede  ,528.6,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,Min. 400g  
386,35.0,"swede, fresh, boiled  ",35.2,Tesco British large swede  ,836.4,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,Min. 700g  
387,35.0,"swede, fresh, boiled  ",35.3,Asda Grower’s Selection diced swede  ,500g  ,26.10.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
388,35.0,"swede, fresh, boiled  ",35.4,Sainsbury’s swede  ,846.5,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,Min. 525g  
389,35.0,"swede, fresh, boiled  ",35.5,Morrisons swede  ,787.7,02.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,Min. 500g  
390,35.0,"swede, fresh, boiled  ",35.6,Simply M&S British swede  ,724.0,26.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,500g  
391,35.0,"swede, fresh, boiled  ",35.7,Lidl swede  ,878.5,26.10.15  ,"Lidl, Drayton Road, Norwich  ",Loose  ,Purchase Date:  
392,35.0,"swede, fresh, boiled  ",35.8,Asda Grower’s Selection diced swede  ,500g  ,02.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
393,35.0,"swede, fresh, boiled  ",35.9,The Co -operative Loved by Us British swede  ,644.0,26.10.15  ,"The Co -operative, Long Stratton , Norwich  ",Plastic  ,500g  
394,35.0,"swede, fresh, boiled  ",35.1,Farm Shop swede  ,528.6,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk  ",Loose  ,Min. 400g  
395,35.0,"swede, fresh, boiled  ",35.11,Bidvest Foodservice swede  ,1147.4,12.10.15  ,Bidvest Foodservice delivery  ,Loose  ,Purchase Date:  
396,19.0,"sweetcorn, baby, fresh, boiled  ",19.1,Tesco baby corn  ,401.7,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,190g  
397,19.0,"sweetcorn, baby, fresh, boiled  ",19.2,Tesco baby corn  ,414.9,09.11.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,190g  
398,19.0,"sweetcorn, baby, fresh, boiled  ",19.3,Asda Grower’s Selection baby corn  ,379.5,09.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,130g  
399,19.0,"sweetcorn, baby, fresh, boiled  ",19.4,Sainsbury’s babycorn  ,340.8,30.11.15  ,"Sainsbury’s, Longwater Retail Park,  Norwich  ",Plastic  ,175g  
400,19.0,"sweetcorn, baby, fresh, boiled  ",19.5,Morrisons baby corn  ,405.5,09.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,125g  
401,19.0,"sweetcorn, baby, fresh, boiled  ",19.6,Waitrose baby corn  ,374.8,18.11.15  ,"Waitrose, Wymondham , Norfolk   ",Plastic  ,175g  
402,19.0,"sweetcorn, baby, fresh, boiled  ",19.7,Wood Farm baby corn  ,360.0,16.11.15  ,"Aldi, Sprowston Road, Norwich  ",Plastic  ,135g  
403,19.0,"sweetcorn, baby, fresh, boiled  ",19.8,Asda Grower’s Selection baby corn  ,375.0,30.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,130g  
404,19.0,"sweetcorn, baby, fresh, boiled  ",19.9,The Co -operative Loved by Us babycorn  ,415.9,09.11.15  ,"The Co -operative, Long Stratton , Norfolk  ",Plastic  ,125g  
405,19.0,"sweetcorn, baby, fresh, boiled  ",19.1,Morrisons baby corn  ,401.7,16.12.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,190g  
406,19.0,"sweetcorn, baby, fresh, boiled  ",19.11,Exotica baby corn  ,410.0,12.10.15  ,Bidvest Foodservice delivery  ,Plastic  ,80g 
407,31.0,"sweet potato, boiled, flesh only  ",31.1,Tesco sweet potatoes  ,142.0,07.12.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,1kg 
408,31.0,"sweet potato, boiled, flesh only  ",31.2,Tesco sweet potatoes  ,187.0,05.01.16  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,1kg 
409,31.0,"sweet potato, boiled, flesh only  ",31.3,Asda Grower’s Selection sweet potatoes  ,261.7,07.12.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,1kg 
410,31.0,"sweet potato, boiled, flesh only  ",31.4,Sainsbury’s sweet potato  ,186.0,07.12.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic netting  ,1.25kg  
411,31.0,"sweet potato, boiled, flesh only  ",31.5,Morrisons sweet potato  ,129.3,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Loose  ,Purchase Date:  
412,31.0,"sweet potato, boiled, flesh only  ",31.6,M&S sweet potatoes  ,188.7,07.12.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,1kg 
413,31.0,"sweet potato, boiled, flesh only  ",31.7,Lidl sweet potatoes  ,403.7,07.12.15  ,"Lidl, Drayton Road, Norwich  ",Loose  ,Purchase Date:  
414,31.0,"sweet potato, boiled, flesh only  ",31.8,Morrisons sweet potatoes  ,316.7,07.12.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,Min. 5  
415,31.0,"sweet potato, boiled, flesh only  ",31.9,The Co -operative sweet potatoes  ,233.7,07.12.15  ,"The Co -operative, Long Stratton , Norfolk  ",Loose  ,Purchase Date:  
416,31.0,"sweet potato, boiled, flesh only  ",31.1,Greengrocer sweet potatoes  ,142.0,09.12.15  ,"Independent greengrocer, Gloucester Road, Norwich  ",Loose  ,1kg 
417,31.0,"sweet potato, boiled, flesh  only ",31.11,Bidvest Foodservice sweet potatoes  ,267.4,12.01.15  ,Bidvest Foodservice delivery  ,Loose in cardboard  ,6kg net  
418,39.0,"watercress, raw  ",39.1,Tesco Wessex watercress  ,0.8,28.09.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,85g 
419,39.0,"watercress, raw  ",39.2,Tesco watercress  ,0.6,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,85g 
420,39.0,"watercress, raw  ",39.3,Asda Grower’s Selection watercress  ,0.9,16.11.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,85g 
421,39.0,"watercress, raw  ",39.4,Sainsbury’s baby leaf watercress  ,1.7,28.09.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,80g 
422,39.0,"watercress, raw  ",39.5,Morrisons watercress  ,1.3,28.09.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,85g 
423,39.0,"watercress, raw  ",39.6,Waitrose hot & peppery watercress  ,0.6,06.10.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,100g  
424,39.0,"watercress, raw  ",39.7,Tesco watercress  ,0.8,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,85g 
425,39.0,"watercress, raw  ",39.8,Morrisons watercress  ,0.7,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,85g 
426,39.0,"watercress, raw  ",39.9,Morrisons watercress  ,1.2,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,85g 
427,39.0,"watercress, raw  ",39.1,Hairspring watercress  ,0.8,30.10.15  ,,Loose/bunch  ,85g 
428,39.0,"watercress, raw  ",39.11,Fresha water cress  ,1.0,16.10.15  ,Bidvest Foodservice delivery  ,Plastic  ,100g  
429,41.0,"yam, fresh, boiled  ",41.1,Tesco yam  ,1470.5,30.10.15  ,"Tesco Superstore, Lewisham, London  ",Loose  ,Purchase Date:  
430,41.0,"yam, fresh, boiled  ",41.2,Tesco yam  ,1719.9,19.11.15  ,"Tesco, South Tottenham, London  ",Loose  ,Purchase Date:  
431,41.0,"yam, fresh, boiled  ",41.3,Tesco yam  ,1595.0,19.11.15  ,"Tesco South Tottenham, London  ",Loose  ,Purchase Date:  
432,41.0,"yam, fresh, boiled  ",41.4,Spiceland yam  ,1279.5,19.10.15  ,"Spiceland, Magdelen Street, Norwich  ",Loose  ,Purchase Date:  
433,41.0,"yam, fresh, boiled  ",41.5,Foodland yam  ,1115.0,30.10.15  ,"Foodland, Brixton Market, London  ",Loose  ,Purchase Date:  
434,41.0,"yam, fresh, boiled  ",41.6,Aziz Cash & Carry yam  ,1679.0,30.10.15  ,"Aziz Cash &  Carry, Electric Avenue, Brixton  ",Loose  ,Purchase Date:  
435,41.0,"yam, fresh, boiled  ",41.7,Asian Bazaar yam  ,1938.3,26.01.16  ,"Asian Bazaar, Magdalen Street, Norwich  ",Loose  ,Purchase Date:  
436,41.0,"yam, fresh, boiled  ",41.8,Spice Land yam  ,2284.0,26.01.16  ,"Spice Land, Dereham Road, Norwich  ",Loose  ,Purchase Date:  
