,Composite Sample Number,Composite Sample Name,Sub_sampleNumber,Sub-sample Name,Sample Weight,Purchase Date,Place of Purchase,Packaging,Pack size
56,33.0,"broad beans, fresh, boiled  ",33.3,Tesco broad beans  ,74.7,22.09.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
57,33.0,"broad beans, fresh, boiled  ",33.4,Asda Grower’s Selection broad beans  ,32.0,11.08.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
58,33.0,"broad beans, fresh, boiled  ",33.5,Sainsbury’s broad beans  ,32.0,11.08.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,500g  
59,33.0,"broad beans, fresh, boiled  ",33.6,Morrisons broad beans  ,29.3,11.08.15  ,"Morrisons, Albion way, Norwich  ",Plastic  ,500g  
60,33.0,"broad beans, fresh, boiled  ",33.7,Essential Waitrose broad beans  ,45.1,11.08.15  ,"Waitrose, Eaton , Norwich  ",Plastic  ,500g  
61,33.0,"broad beans, fresh, boiled  ",33.8,Asda Grower’s Selection British broad beans  ,42.0,19.10.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
62,33.0,"broad beans, fresh, boiled  ",33.9,M&S British broad beans  ,42.3,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,450g  
63,33.0,"broad beans, fresh, boiled  ",33.1,Tesco broad beans  ,39.2,16.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,500g  
64,33.0,"broad beans, fresh, boiled  ",33.11,Market broad beans  ,36.1,12.08.15  ,"Independent market stall, Norwich Market  ",Loose  ,Purchase Date:  
65,15.0,"brussels sprouts, boiled  ",15.1,Tesco Brussels sprouts  ,29.4,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Loose  ,Purchase Date:  
66,15.0,"brussels sprouts, boiled  ",15.2,Tesco British peeled Brussels sprouts  ,14.7,19.10.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,250g  
67,15.0,"brussels sprouts, boiled  ",15.3,Asda Grower’s Selection British sprouts  ,15.6,23.10.15  ,"Asda, Boundary Road, Norwich  ",Plastic  ,500g  
68,15.0,"brussels sprouts, boiled  ",15.4,Sainsbury’s Brussels sprouts  ,16.0,19.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase Date:  
69,15.0,"brussels sprouts, boiled  ",15.5,Morrisons Brussels sprouts  ,22.7,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Plastic  ,500g  
70,15.0,"brussels sprouts, boiled  ",15.6,M&S British baby sprouts  ,6.1,19.10.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Plastic  ,200g  
71,15.0,"brussels sprouts, boiled  ",15.7,Wood Farm Brussels sprouts  ,10.1,19.10.15  ,"Aldi, Larkman Lane, Norwich  ",Plastic  ,500g  
72,15.0,"brussels sprouts, boiled  ",15.8,Tesco British Brussels sprouts  ,20.9,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,500g  
73,15.0,"brussels sprouts, boiled  ",15.9,The Co -operative Loved by Us British Brussels sprouts  ,9.4,26.10.15  ,"The Co -operative, Long Stratton , Norfolk  ",Plastic  ,500g  
74,,"brussels sprouts, boiled  ",15.1,Farm Shop Brussels sprouts  ,29.4,13.10.15  ,"Independent Farm Shop, Mulbarton , Norfolk   ",Loose  ,Purchase Date:  
75,15.0,"brussels sprouts, boiled  ",15.11,Farm Fresh Brussels sprouts  ,20.5,19.10.15  ,"Booker, Norwich  ",Plastic  ,5kg 
76,28.0,"butternut squash, boiled flesh only  ",28.1,Tesco roasting butternut squash  ,1387.2,05.10.15  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
77,28.0,"butternut squash, boiled flesh only  ",28.2,Tesco butternut squash  ,1014.1,27.01.16  ,"Tesco, Harford Bridges, Norwich  ",Loose  ,Purchase Date:  
78,28.0,"butternut squash, boiled flesh only  ",28.3,Asda Grower’s Selection butternut squash  ,1101.1,05.10.15  ,"Asda, Boundary Road, Norwich  ",Loose  ,Purchase Date:  
79,28.0,"butternut squash, boiled flesh only  ",28.4,Sainsbury’s butternut squash  ,1017.8,13.01.16  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Loose  ,Purchase Date:  
80,28.0,"butternut squash, boiled flesh only  ",28.5,Morrisons butternut squash  ,588.9,19.10.15  ,"Morrisons, Albion Way, Norwich  ",Loose  ,Purchase Date:  
81,28.0,"butternut squash, boiled flesh only  ",28.6,Essential Waitrose butternut squash  ,1439.9,16.01.16  ,"Waitrose, Wymondham , Norfolk  ",Loose  ,Purchase Date:  
82,28.0,"butternut squash, boiled flesh only  ",28.7,Lidl butternut squash  ,967.9,05.10.15  ,"Lidl, Drayton Road, Norwich  ",Loose  ,Purchase Date:  
83,28.0,"butternut squash, boiled flesh only  ",28.8,Sainsbury’s ready prepared butternut squash  ,,26.10.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Plastic  ,320g  
84,28.0,"butternut squash, boiled flesh only  ",28.9,The Co -operative butternut squash  ,660.2,05.01.16  ,"The Co -operative, Wymondham , Norfolk  ",Loose  ,Purchase Date:  
85,28.0,"butternut squash, boiled flesh only  ",28.1,Market butternut squash  ,1387.2,08.10.15  ,,Loose  ,Purchase Date:  
86,28.0,"butternut squash, boiled flesh only  ",28.11,Farm Fresh butternut squash  ,767.8,05.10.15  ,"Booker, Norwich  ",Plastic  ,x2 
87,60.0,"cannellini beans, canned, reheated  ",60.1,Tesco cannellini beans in water  ,508.7,26.10.15  ,"Tesco, Harford Bridges, Norwich  ",Metal  ,Net weight: 400g; drained weight: 246g  
88,60.0,"cannellini beans, canned, reheated  ",60.2,Tesco cannellini beans in water  ,523.3,16.11.15  ,"Tesco, Blue Boar Road, Norwich  ",Metal  ,Net weight: 400g; drained weight: 246g  
89,60.0,"cannellini beans, canned, reheated  ",60.3,Asda Good & Balanced cannellini beans  ,406.2,09.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,300g; net drained weight: 175g  
90,60.0,"cannellini beans, canned, reheated  ",60.4,Sainsbury’s cannellini beans in water  ,505.2,16.11.15  ,"Sainsbury’s, Longwater Retail Park, Norwich  ",Metal  ,400g; drained weight: 235g  
91,60.0,"cannellini beans, canned, reheated  ",60.5,Morrisons cannellini beans  ,337.9,16.11.15  ,"Morrisons, Albion Way, Norwich  ",Metal  ,300g; drained weight: 175g  
92,60.0,"cannellini beans, canned, reheated  ",60.6,Waitrose essential cannellini beans in water  ,475.0,05.01.16  ,"Waitrose, Eaton , Norwich  ",Metal  ,400g; net drained weight: 235g  
93,60.0,"cannellini beans, canned, reheated  ",60.7,Simply M&S cannellini beans in water  ,521.6,16.11.15  ,"Marks & Spencer, Sweet Briar Retail Park, Norwich  ",Metal  ,Net weight: 400g; drained weight: 235g  
94,60.0,"cannellini beans, canned, reheated  ",60.8,Napolina cannellini beans in water  ,534.9,16.11.15  ,"Booker, Norwich  ",Metal  ,Net weight: 800g; drained weight: 480g  
95,60.0,"cannellini beans, canned, reheated  ",60.9,Napolina cannellini beans in water  ,383.8,09.11.15  ,"Asda, Boundary Road, Norwich  ",Metal  ,Net weight: 220g; drained weight: 110g  
96,60.0,"cannellini beans, canned, reheated  ",60.1,Napolina cannellini beans in water  ,508.7,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Metal  ,Net weight: 400g; drained weight: 246g  
97,21.0,"celery, raw  ",21.1,Tesco British celery sticks  ,,26.08.15  ,"Tesco, Harford Bridges, Norwich  ",Plastic  ,350g  
98,21.0,"celery, raw  ",21.2,Tesco celery sticks  ,,16.11.15  ,"Tesco Extra, Blue Boar Road, Norwich  ",Plastic  ,350g  
