,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
90,7,"Potatoes, new, boiled, flesh and skin ",7.9,"Tesco , Market Value , new potatoes ",Tesco Market Value ,1kg ,30.08.11 ,"Tesco, Harford Bridges , Norwich ",02-Sep,Batch Number: GV1  12:11  L2 ,GV1  12:11  L2 ,Plastic ,Ambient ,Ambi ent 
91,7,"Potatoes, new, boiled, flesh and skin ",7.1,Market new potatoes ,Pack size: ,Purchase Date: 30.08. 11 ,30.08. 11 ,"Independent market s tall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Ambient 
92,7,"Potatoes, new, boiled, flesh and skin ",,"Garden of Elveden , premium salad potatoes ",Garden of Elveden ,1kg ,30.08.11 ,"Makro , Norwich ",Best Before Date: ,Batch Number: Supplier: 24333 Ar t No:369933 Code: 241 ,Supplier: 24333 Ar t No:369933 Code: 241 ,Plastic ,Ambient ,Ambient 
93,7,"Potatoes, new, boiled, flesh and skin ",7.12,"Tesco , Finest , Exquisa potatoes ",Tesco Finest ,1kg ,07.11.11 ,"Tesco, Blue Boar , Norwich ",09-Nov,11-Nov,BS1 9EO2  09:24 ,Plastic ,Ambient ,
94,7,"Potatoes, new, boiled, flesh and skin ",7.13,"Tesco , Eastern Counties , baby new potatoes ",Tesco ,1kg ,17.11.11 ,"Tesco, Blue Boar , Norwich ",09-Nov,11-Nov,GV1    21:32  L6 ,Plastic ,,Refrigerated 
95,7,"Potatoes, new, boiled, flesh and skin ",7.14,"Asda , baby new potatoes ",Asda ,1kg ,07.11.11 ,"Asda , Norwich ",10-Nov,12-Nov,QVL231 12D44179068 Site code:790829 ,Plastic ,Ambient ,Ambient 
96,7,"Potatoes, new, boiled, flesh and skin ",7.15,"Asda , new potatoes ",Asda ,2.5kg ,07.11.11 ,"Asda , Norwich ",07 N ov ,09-Nov,QVL62612A44174070 Site code: 790789 ,Plastic ,Ambient ,Ambient 
97,7,"Potatoes, new, boiled, flesh and skin ",7.16,"Sainsbury’s , British new potatoes ",Sainsb ury’s ,2kg ,07.11.11 ,"Sainsbury’s, Longwater , Norwich ",10-Nov,12-Nov,A0283 A Line F14 0814 JS 2kg New ,Plastic ,,Ambient 
98,7,"Potatoes, new, boiled, flesh and skin ",7.17,"Morrisons , salad potatoes ",Morrisons ,750g ,07.11.11 ,"Morrisons , Norwich ",11-Nov,13-Nov,6913  RD1 -POT8A 30911SK 11:06 ,Plastic ,Ambient ,
99,7,"Potatoes, new, boiled, flesh and skin ",7.19,"Oaklands , British baby potatoes ",Oaklands ,1kg ,07.11.11 ,"Lidl, Attleborough ",11-Nov,11-Nov,4405 class 1  W0788  17:17 42mm 308 132383 ,Plastic ,Ambient ,Ambient 
100,7,"Potatoes, new, boiled, flesh an d skin ",7.2,"Tesco , Market Value , new potatoes ",Tesco Market Value ,1kg ,07.11.11 ,"Tesco, Harford Bridges, Norwich ",09-Nov,,GV1    10:41   L4 ,Plastic ,Ambient ,Refrigerated 
101,7,"Potatoes, new, boiled, flesh and skin ",7.22,"Farm Fresh , baby new potatoes ",Farm Fresh ,,07.11.11 ,"Booker, Norwich ",09-Nov,Batch Number: 83 / 3 15:14  5 56957 ,83 / 3 15:14  5 56957 ,Plastic ,Ambient ,Ambient 
102,8,"Carrots, old, raw ",8.1,"Tesco , loose carrots ",Pack size: ,Purchase Date: 10.10.2011 ,10.10.2011 ,"Tesco, Blue Boar , Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
103,8,"Carrots, old, raw ",8.2,"Tesco , East Anglian carrots ",Tesco ,,10.10.2011 ,"Tesco, Blue Boar , Norwich ",12-Oct,13-Oct,Supplier Code D1 ABC 08 -50 ,Plastic ,Ambient ,
104,8,"Carrots, old, raw ",8.3,"Asda , fresh tastes, bumper carrot batons ",Asda fresh tastes ,600g ,10.10.2011 ,"Asda , Norwich ",13-Oct,,281 12:22 A ,Plastic ,Ambient ,Refrigerated 
105,8,"Carrots, old, raw ",8.4,"Asda , British carrots ",Asda ,1kg ,10.10.2011 ,"Asda , Norwich ",14-Oct,16-Oct,13:49  281 845019 20 -40mm ,Plastic ,Ambient ,Refrigerated 
106,8,"Carrots, old, raw ",8.5,"Sainsbury’s , loose carrots ",Pack size: ,Purchase Date: 10.10.2011 ,10.10.2011 ,,Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
107,8,"Carrots, old, raw ",8.6,"Morrisons , bunched carrots ",Morrisons ,500g ,10.10.2011 ,"Morrisons , Norwich ",12-Oct,14-Oct,0121 CLASS 1 ,Plastic ,Ambient ,Refrigerated 
108,8,"Carrots, old, raw ",8.7,"Waitrose , loose carrots ",Waitrose ,Purchase Date: 10.10.2011 ,10.10.2011 ,"Waitrose, Wymondham ",,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
109,8,"Carrots, old, raw ",8.8,"Aldi, British carrots ",Aldi ,1kg ,10.10.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier Code:348  4103 21:09  2A A ,Supplier Code:348  4103 21:09  2A A ,Plastic ,Ambient ,Refrigerated 
110,8,"Carrot s, old, raw ",8.9,"Sainsbury’s , basics carrots ",Sainsbury’s basics ,1.5kg ,10.10.2011 ,"Sainsbury’s, Longwater, Norwich ",12-Oct,,K0087B ,Plastic ,Ambient ,Refrigerated 
