,Composite Sample Number,Composite Sample Name,Sub-sample Number,Sub-sample Name,Brand,Pack size,Purchase Date,Place of Purchase,Display Until Date,Best Before Date,Batch Number,Packaging,Sample Condition As Purchased,Post Purchase Storage
495,30,"Tomatoes (standard), grill ed, flesh and seeds only ",30.2,"Tesco, Market Value, tomatoes ",Tesco Market Value ,500g ,31.10.2011 ,"Tesco, Harford Bridges, Norwich ",04 No v ,Batch Number: BV02 ,BV02 ,Netting ,Ambient ,Refrigerated 
496,30,"Tomatoes (standard), grilled, flesh and seeds only ",30.21,Market to matoes ,Pack size: ,Purchase Date: 31.10.2011 ,31.10.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,
497,30,"Toma toes (standard), grilled, flesh and seeds only ",30.22,"Farm Fresh, round tomatoes ",Farm Fresh ,Counts x 6 ,31.10.2011 ,"Booker, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Chilled ,Refrigerated 
498,31,"Tomatoes, cherry, raw ",31.1,"Tesco , Finest, Norfolk piccolo cherry tomatoes ",Tesco Finest ,220g ,30.08.2011 ,"Tesco, Harford Bridges, Norwich ",02-Sep,04-Sep,SP08 ,Plastic ,Ambient ,Refrigerated 
499,31,"Tomatoes, cherry, raw ",31.2,"Tesco, juicy cherry tomatoes ",Tesco ,300g ,30.08.2011 ,"Tesco, Harford Bridges, Norwich ",02-Sep,04-Sep,GZ ,Plastic ,Ambient ,Refrigerated 
500,31,"Tomatoes, cherry, raw ",31.3,"Asda, cherry, on the vine tomatoes ",Asda ,250g ,30.08.2011 ,"Asda, Norwich ",30-Aug,01-Sep,520209 1952  12:10 ,Plastic ,Ambient ,Refrigerated 
501,31,"Tomatoes, cherry, raw ",31.4,"Asda, cherry tomatoes ",Asda ,400g ,30.08.2011 ,"Asda, Norwich ",02-Sep,02-Sep,900962 2649  08:43  ASL0 804563 ,Plastic ,Ambient ,Refrigerated 
502,31,"Tomatoes, cherry, raw ",31.5,"Sainsbury’s, British cherry tomatoes, on the vine ",Sainsbury’s ,225g ,30.08.2011 ,"Sainsbury’s, Longwater, Norwich ",,03-Sep,W0144F L  7155208 03.10 ,Plastic ,Ambient ,Refrigerated 
503,31,"Tomatoes, cherry, raw ",31.7,"Waitrose, int ensely sweet, full -flavoured cherry vine ",Waitrose ,270g ,30.08.2011 ,"Waitrose, Eaton, Norwich ",03-Sep,Batch Number: Supplier:  256BBL ,Supplier:  256BBL ,,Ambient ,Refrigerated 
504,31,"Tomatoes, cherry, raw ",31.8,"Iceland, cherry tom atoes ",Iceland ,300g ,30.08.2011 ,"Iceland, Norwich ",04-Sep,Batch Number: 01 1116 237 955ID46621C ,01 1116 237 955ID46621C ,Plastic ,Ambi ent ,Refrigerated 
505,31,"Tomatoes, cherry, raw ",31.1,Market cherry tomatoes (on the vine) ,Pack size: ,Purchase Date: 30.08.2011 ,30.08.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
506,,Sub-sample Number:,Sub-sample Name:,Brand:,Pack size:,Purchase Date:,Place of Purchase:,Display Until Date:,Best Before Date:,Batch Number:,Packaging:,Sample Condition As Purchased:,Post Purchase Storage:,31
507,31,"Tomatoes, cherry, raw ",31.12,"Tesco, Finest Cheribelle tomatoes, on the vine ",Tesco Finest ,Purchase Date: 31.10.2011 ,31.10.2011 ,"Tesco, Harford Bridges, Norwich ",Best Before Date: ,Batch Numbe r: 8818 ,,Plastic ,Ambient ,Refrigerated 
508,31,"Tomatoes, cherry, raw ",31.13,"Tesco, juicy cherry t omatoes ",Tesco ,300g ,31.10.2011 ,"Tesco, Harford Bridges, Norwich ",02-Nov,04-Nov,GZ ,Plastic ,Ambient ,Refrigerated 
509,31,"Tomatoes, cherry, raw ",31.14,"Asda, cherry, on the vine tomatoes ",Asda ,,31.10.2011 ,"Asda, Norwich ",02-Nov,04-Nov,905264 371884 ,Plastic ,Ambient ,Refrige rated 
510,31,"Tomatoes, cherry, raw ",31.15,"Asda, Extra Special swee t aromatico tomatoes ",Asda Extra Special ,220g ,31.10.2011 ,"Asda, Norwich ",02-Nov,04-Nov,450018,Plastic ,,Refrigerated 
511,31,"Tomatoes, cherry, raw ",31.16,"Sainsbury’s, cherry tomatoes, on the vine ",Sains bury’s ,225g ,31.10.2011 ,"Sainsbury’s, Longwater, Norwich ",04-Nov,04-Nov,T8202A  7155208 03.10 ,Plastic ,Ambient ,Refrigerated 
512,31,"Tomatoes, cherry, raw ",31.17,"Morrisons, vine ripened cherry tomatoes ",Morrisons ,225g ,31.10.2011 ,"Morrisons, Norwich ",02-Nov,04-Nov,Kcb75 V 251904  0258  T29465/0210 ,Plastic ,Ambient ,Refrigerated 
513,,"Tomatoes, cherry, raw ",31.18,"Marks & Spencer, super sweet piccolini baby cherry ",Marks & Spencer ,175g ,31.10.2011 ,"Marks & Spencer, Norwich ",05-Nov,Batch Number: 4511A ,4511A ,Plastic ,Ambient ,Refrigerated 
514,,"Tomatoes, cherry, raw ",31.19,"Oaklands, cherry tomatoes, on the vine ",Oaklands ,300g ,31.10.2011 ,"Lidl, Attleborough ",,Batch Number: W-0385 L -4301 LOTE 44/000011077 ,W-0385 L -4301 LOTE 44/000011077 ,Plastic ,Ambient ,Refrigerated 
515,31,"Tomatoes, cherry, raw ",31.2,Market cherry tomatoes ,Pack size: ,Purchase Date: 31.10.2011 ,31.10.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Paper ,Paper ,Ambient ,Refrigerated 
516,,"Tomatoes, cherry, raw ",31.21,"Farm Fresh, cherry tomatoes ",Farm Fresh ,250g ,31.10.2011 ,"Booker, Norwic h ",Best Before Date: ,Batch Number: 292 ,292,Plastic ,Chilled ,Refrigerated 
517,32,"Lettuce, average, raw ",,"Tesco, sweet baby romaine ",Tesco ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Tesco, Harford Bridges, Norwich ",29-Sep,01-Oct,GS 03 ,,Ambient ,Refrigerated 
518,32,"Lettuce, average, raw ",32.2,"Tesco, sweet iceberg lettuce ",Tesco ,260g ,26.09.2011 ,"Tesco, Blue Boar Road, Norwich ",27-Sep,,SCGD Line 7.1 09:03 ,Plastic ,Ambient ,Refrigerated 
519,32,"Lettuce, average, raw ",32.3,,Asda ,155g ,26.09.2011 ,"Asda, Norwich ",28-Sep,,Line 007 S 19:31 ,Plastic ,Ambient ,Refrigerated 
520,32,"Lettuce, average, raw ",32.4,"Asda, lazy leaf lettuce ",Asda ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Asda, Norwich ",Thu ,Sat ,370000,Plastic ,Ambient ,Refrigerated 
521,32,"Lettuce, average, raw ",32.5,"Sainsb ury’s, British round lettuce ",Sainsbury’s ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: ,Batch Number: 444 11.09 ,444 11.09 ,Plastic ,Ambient ,Refrigerated 
522,32,"Lettuce, average, raw ",32.6,"Morrisons, romaine lettuce ",Morrisons ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Morrisons, Norwich ",28-Sep,29-Sep,1677 T31081/0610 ,Plastic ,Ambient ,Refrigerated 
523,32,"Lettuce, average, raw ",,"Marks & Spencer, iceberg lettuce ",Marks & Spencer ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Marks & Spencer, Norwich ",29-Sep,Batch Number: ,Packaging : Plastic ,,Ambient ,Refrigerated 
524,32,"Lettuce, average, raw ",32.8,"Aldi, little gem lettuce ",Aldi ,Count x2 ,,"Aldi, Norwich ",Best Before Date: ,Batch Number: 3901 supplier code:348A ,3901 supplier code:348A ,Plastic ,Ambient ,Refrigerated 
525,32,"Lettuce, avera ge, raw ",32.9,"Sainsbury’s, basics , iceberg lettuce ",Sainsbury’s basics ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Sainsbury’s, Longwater, Norwich ",01-Oct,02-Oct,G0630 ,Plastic ,Ambient ,Refrigerated 
526,32,"Lettuce, average, raw ",32.1,Market ic eberg lettuce ,Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,
527,32,"Lettuce, average, raw ",32.12,"Tesco, romaine lettuce ",,Purchase Date: 07.11.2011 ,07.11.2011 ,"Tesco, Blue Boar Road, Norwich ",11-Nov,13-Nov,GS02 ,Plastic ,Ambient ,
528,32,"Lettuce, average, raw ",32.13,"Tesco, iceberg lettuce ",Tesco ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Tesco, Bl ue Boar Road, Norwich ",Wednesday ,Batch Number: G502 ,G502 ,Plastic ,Ambient ,Refrigerated 
529,32,"Lettuce, average, raw ",32.14,,Asda ,260g ,07.11.2011 ,"Asda, Norwich ",11-Nov,,Line 01 S 06:48 050 ,Plastic ,,Refrigerated 
530,32,"Lettuce, average, raw ",32.15,"Asda, hearts of romaine lettuce ",Asda ,Count 2 ,07.11.2011 ,"Asda, Norwich ",13-Nov,15-Nov,470010,Plastic ,,Refrigerated 
531,32,"Lettuce, average, raw ",32.16,"Sainsbury’s, iceberg lettuce ",Sainsbury’s ,200g ,07.11.2011 ,"Sainsbury’s, Longwater, Norwich ",Use By Date: 11 Nov ,,Line 01 17:30 S 7282600 04.10 ,Plastic ,Ambient ,Refrigerated 
532,32,"Lettuce, average, raw ",32.17,"Morrisons, iceberg lettuce ",Morrisons ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Morrisons, Norwich ",09-Nov,10-Nov,24234 TH1 -ICE1C 30911 LZ 05:04 T29931/0310 ,Plastic ,Ambient ,
533,32,"Lettuce, average, raw ",32.18,"The Co -operative, iceberg lettuce ",The Co -operative ,Purchase Date: 07.11.2011 ,07.11.2011 ,"The Co -operative , Wymondham ",12-Nov,,M029 (F) KCA112 ,Plastic ,Ambient ,Refrigerated 
534,32,"Lettuce, average, raw ",32.19,"Oaklands, little gem ",Oakla nds ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Lidl, Attleborough ",Best Before Date: ,Batch Number: L-4402 W -0385 ,L-4402 W -0385 ,Plastic ,Ambient ,Refriger ated 
535,32,"Lettuce, average, raw ",32.2,"Tesco, Market Value, iceberg lettuce ",Tesco Market Value ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Tesco, Blue Boar Road , Norwich ",10-Nov,Batch Number: GS02 ,GS02 ,Plastic ,Ambient ,Refrigerated 
536,32,"Lettuce, average, raw ",32.21,Market lettuce ,Pack s ize: ,,07.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
537,32,"Lettuce, average, raw ",32.22,"Farm Fresh, iceberg lettuce ",Farm Fresh ,Count x1 ,07.11.2011 ,"Booker, Norwich ",Best Before Date: ,Batch Number: Date code: 33 05 ,Date code: 33 05 ,Plastic ,Refrigerated ,Refrigerated 
538,33,"Spinach, baby, raw ",33.1,"Tesco, mild baby spinach ",Tesco ,200g ,28.09.2011 ,"Tesco, Harford Bridges, Norwich ",29-Sep,,SCGD Line 7.1 09:13 ,Plastic ,Ambient ,
539,33,"Spinach, baby, raw ",33.2,"Tesco, mild baby spinach ",Tesco ,200g ,26.09.2011 ,"Tesco, Blue Boar Road, Norwich ",29-Sep,,SCGD Line 7.1 09:10 ,Plastic ,Ambient ,Refrigerated 
540,33,"Spinach, baby, r aw ",33.3,"Asda, baby spinach ",Asda ,160g ,26.09.2011 ,"Asda, Norwich ",28-Sep,,Line008 S 06:15 ,,Ambient ,Refrigerated 
541,33,"Spinach, baby, raw ",33.4,"Asda, baby spinach ",Asda ,160g ,26.09.2011 ,"Asda, Norwich ",30-Sep,,Line008 S 05.06 ,Plastic ,Ambient ,Refrigerated 
542,33,"Spinach, baby, raw ",33.6,"Morrisons, washed baby spinach ",Morrisons ,140g ,26.09.2011 ,"Morrisons, Norwich ",Use By Date: 29 Sep ,,1424/16 1939G T34073/0411 1424 ,Plastic ,Ambient ,Refrigerated 
543,33,"Spinach, baby, raw ",33.8,"Naturo, baby spinach ",Naturo ,200g ,27.09.2011 ,"Independent greengrocers, Norwich ",Use By Date: ,,LF1 266 13:55 ,Plastic ,Ambient ,
544,33,"Spinach, baby, raw ",33.9,"Tesco, m ild baby spinach ",Tesco ,200g ,21.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Use By Date: 25 Nov ,,SCGD Line 8.2 15:00 ,Plastic ,Ambient ,Refrigerated 
545,33,"Spinach, baby, raw ",33.1,"Tesco, m ild baby spinach ",Tesco ,200g ,21.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Use By Date: 22 Nov ,,SCGD Line 8.2 10:09 ,Plastic ,Ambient ,Refrigerated 
546,33,"Spinach, baby, raw ",33.11,"Asda, baby spinach ",Asda ,180g ,,"Asda, Norwich ",23-Nov,25-Nov,998045 ASL 0806410 ,Plastic ,Ambient ,Refrigerated 
547,33,"Spinach, baby, raw ",33.12,"Asda, baby spinach ",Asda ,160g ,21.11.2011 ,"Asda, Norwich ",23-Nov,,Line008 S 07:14 ,Plastic ,Ambient ,Refrigerated 
548,33,"Spinach, baby, raw ",33.14,"Morrisons, washed baby spinach ",Morrisons ,140g ,21.11.2011 ,"Morris ons, Norwich ",Use By Date: 25 Nov ,,1424/19  0100A T34073/0411 ,Plastic ,Ambient ,Refrigerated 
549,33,"Spinach, baby, raw ",33.16,"Oaklands, fresh spinach ",Oaklands ,250g ,21.11.2011 ,"Lidl, Norwich ",Best Be fore Date: 26 Nov ,,LF1 322 18:21 46 05 W3839 ,Plastic ,Ambient ,Refrigerated 
550,34,"Rocket, raw ",34.1,"Tesco, peppery wild rocket ",Tesco ,70g ,,"Tesco, Blue Boar Road, Norwich ",Use By Date: 29 Sep ,,NF 51339A ,Plastic ,Ambient ,Refrigerated 
551,34,"Rocket, raw ",34.2,"Fresh & Naked, wild rocket ",Fresh & Naked ,60g ,27.09. 2011 ,"Tesco, Harford Bridges, Norwich ",Use By Date: 01 Oct ,,Packaging: Plastic/paper ,Plastic/paper ,Ambient ,Refrigerated 
552,34,"Rocket, raw ",34.3,"Asda, Fresh Tastes , wild rocket ",Asda Fresh Tastes ,70g ,26.09.2011 ,"Asda, Norwich ",29-Sep,,Line007 S 05:15 050 ASL1100552 ,Plastic ,Ambient ,Refrigerated 
553,34,"Rocket, raw ",34.5,"Sainsbury’s, wild rocket ",Sainsbury’s ,70g ,26.09.2011 ,"Sainsbury’s, Longwater, Norwich ",,,10 1032 267 6863512 04.10 H0604A ,Plastic ,Ambient ,Refrigerated 
554,34,"Rocket, raw ",34.6,"Morriso ns, unwashed wild rocket ",Morrisons ,90g (2x45g) ,26.09.2011 ,"Morrisons, Norwich ",30-Sep,,08:06 2625 6 T34110/0511 ,Plastic ,,Refrigerated 
555,34,"Rocket, raw ",34.7,"Marks & Spencer, wild rocket ",Marks & Spencer ,50g ,26.09.2011 ,"Marks & Spencer, Norwich ",30-Sep,,G18:47  1 ,Plastic ,Ambient ,Refrigerated 
556,34,"Rocket, raw ",34.8,"Aldi, rocket ",Aldi ,70g ,26.09.2011 ,,Use By Date: 02 Oct ,,6 07:58 03 25105087 ,Plastic ,Ambient ,Refrigerated 
557,,"Rocket, raw ",34.9,Greengrocer rocket ,Pack size: ,Purchase Date: 27.09.2011 ,27.09.2011 ,"Independent greengrocers, Norwich ",Use By Date: ,,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
558,34,"Rocket, raw ",34.1,"Florette, wild rocket ",Florette ,200g ,26.09.2011 ,"Booker, Norwich ",Use By Date: 29 Sep ,,2 09:44 5L ,Plastic ,Refrigerated ,Refrigerated 
559,34,"Rocket, raw ",34.11,"Tesco, peppery wild rocket ",Tesco ,70g ,07.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Use By Date: 09 Nov ,,NF 7 0817 G ,Plastic ,Ambient ,Refrigerated 
560,34,"Rocket, raw ",34.12,"Fresh & Naked, wild rocket ",Fresh & Naked ,60g ,07.11.2011 ,"Tesco, Harford Bridges, Norwich ",Use By Date: 11 Nov ,,Packagin g: Plastic/paper ,,Ambient ,Refrigerated 
561,34,"Rocket, raw ",34.13,"Asda, Fresh Tastes, wild rocket ",Asda Fresh Tastes ,70g ,07.11.2011 ,"Asda, Norwich ",09-Nov,,Line 7 S 10:57 F ASL1100552 050 ,Plastic ,Ambient ,Refrig erated 
562,34,"Rocket, raw ",34.14,"Asda, Fresh Tastes, wil d rocket ",Asda Fresh Tastes ,70g ,07.11.2011 ,"Asda, Norwich ",10-Nov,,Line006 S 06:13 R ASL1100552 050 ,Plastic ,Ambient ,Refrigerated 
563,34,"Rocket, raw ",,"Sainsbury’s, wild rocket ",Sainsbury’s ,70g ,07.11.2011 ,"Sainsbury’s, Longwater, Norwich ",Use By Date: 10 Nov ,,10 0819 309 68635 12 10.11 H0604A ,Plastic ,Ambient ,Refrigerated 
564,34,"Rocket, raw ",34.16,"Morrisons, unwashed wild r ocket ",Morrisons ,90g (2x45g) ,07.11.2011 ,"Morrisons, Norwich ",10-Nov,,2625 10:05 T34110/0511 ,Plastic ,,Refrigerated 
565,34,"Rocket, raw ",34.17,"Waitrose, peppery and aromatic wild rocket ",Waitrose ,50g ,,"Waitrose, Wymondham ",Use By Date: 10 Nov ,,02 23:27 03.11 ,Plastic ,Ambient ,Refrigerated 
566,34,"Rocket, raw ",34.18,"Oaklands, wild rocket ",Oaklands ,70g ,07.11.2011 ,"Lidl, Norwich ",,10-Nov,LF2 307 15:41 44 04 W3639 ,Plastic ,Ambient ,Refrigerated 
567,34,"Rocket, raw ",34.19,Greengrocer rocket ,Pack size: ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Independent greengrocers, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
568,35,"Cucumber, flesh and skin, raw ",35.1,"Tesco, fresh cucumber portion ",Tesco ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Tesco, Blue Boar Road, Norwich ",27-Sep,28-Sep,GN16 ,Plastic ,Ambient ,
569,35,"Cucumber, flesh and skin, raw ",35.2,"Tesco, cucumber ",Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Tesco, Harford B ridges, Norwich ",29/30 Sep ,Batch Number: GN ,GN ,Plastic ,Ambient ,Refrigerated 
570,35,"Cucumber, flesh and skin, raw ",35.3,"Asda, Brit ish cucumber portion ",Asda ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Asda, Norwich ",28-Sep,,450060,Plastic ,Ambient ,Refrigerated 
571,35,"Cucumber, flesh and skin, raw ",35.4,"Asda, British cucumber ",Asda ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: 450086 J25 ,450086 J25 ,Plastic ,Ambient ,Refrigerated 
572,35,"Cucumber, flesh and skin, raw ",35.6,"Morrisons, cucumber ",Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Morrisons, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,
573,35,"Cucumber, flesh and skin, raw ",35.7,"Mark & Spencer, cucumber ",Marks & Spencer ,350/500g ,26.09.2011 ,"Marks & Spencer, Norwich ",30-Sep,Batch Number: 6539 ,6539,Plastic ,Ambient ,Refrigerated 
574,35,"Cucumber, flesh and skin, raw ",35.8,"Aldi, cucum ber ",Aldi ,400-500g ,26.09.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: Supplier code: 01438 Lot code: 3905 E08683 ,Supplier code: 01438 Lot code: 3905 E08683 ,Plastic ,,Refrigerated 
575,,"Cucumber, flesh and skin, raw ",35.9,Market cucumber ,Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Independent market stall, Norwich ",,Batch Number: ,Packaging: None ,None ,Ambient ,Refrigerated 
576,35,"Cucumber, flesh and skin, raw ",35.1,"Farm Fresh, cucumber ",Farm Fresh ,,26.09.2011 ,"Booker, Norwich ",Best Before Date: ,Batch Number: The Greenery 262 EXP.KCB 1153 27/05 52083201 ,The Greenery 262 EXP.KCB 1153 27/05 52083201 ,Plastic ,Chilled ,
577,35,"Cucumber, flesh and skin, raw ",35.11,"Tesco, cucumber ",Pack size: ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Tesco, Blue Boar Road, Norwich ",11-Nov,Batch Number: GN ,GN ,Plastic ,Ambient ,Refrigerated 
578,35,"Cucumber, flesh and skin, raw ",35.12,"Tesco, cucumber ",Pack size: ,Purchase D ate: 07.11.2011 ,,"Tesco, Harford Bridges, Norwich ",10-Nov,Batch Number: GN ,GN ,Plastic ,Ambient ,Refrigerated 
579,35,"Cucumber, flesh and skin, raw ",35.13,"Asda, cucumber ",Asda ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: 450085 L1 ,450085 L1 ,Plastic ,Ambient ,Refrigerated 
580,,"Cucumber, flesh and skin, raw ",35.14,"Asda , cucumber portion ",Asda ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
581,35,"Cucumber, flesh and skin, raw ",35.15,"Sainsbury’s, whole cucumber ",Sainsbury’s ,,07.11.2011 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: 11 Nov ,11-Nov,0000062 08.11 CO482A H B 7 07:46 D251 ,Plastic ,Ambient ,Refrigerated 
582,35,"Cucumber, flesh and skin, raw ",35.17,"Co-operative, whole cucumber ",Pack size: ,Purchase Date: 07.11.2 011 ,07.11.2 011 ,"Co-operative , Wymondham ",12-Nov,Batch Number: KCB512 1210 HO ,KCB512 1210 HO ,Plastic ,Ambient ,Refrigerated 
583,35,"Cucumber, flesh and skin, raw ",35.18,"Lidl, cucumber ",Pack size: ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Lidl, Attleborough ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,,Refrigerated 
584,35,"Cucumber, flesh and skin, raw ",35.19,Market cucumber ,Pack size: ,Purchase Date: 07.11.2011 ,07.11.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
585,35,"Cucumber, flesh and skin, raw ",35.2,"Farm Fresh, cucumber ",Farm Fresh ,"500/600 g , counts x2 ",07.11.2011 ,"Booker, Norwich ",Best Before Date: ,Batch Number: 33/07 The Greenery 306 EXP.KCB 1153 53103801 ,33/07 The Greenery 306 EXP.KCB 1153 53103801 ,Plastic ,Chilled ,
586,36,"Peppers, red, raw ",36.1,"Tesco, loose red pepper ",Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Tesco, Harford Bridges, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
587,36,"Peppers, red, raw ",36.2,"Tesco, crunchy mixed peppers ",Tesco ,3 pack ,26.09.2011 ,"Tesco, Harford Bridges, Norwich ",01-Oct,03-Oct,GN ,Plastic ,Ambient ,
588,36,"Peppers, red, raw ",36.3,"Asda, l oose red pepper ",Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
589,36,"Peppers, red, raw ",36.4,"Asda , organi cs pepper s ",Asda ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Asda, Norwich ",30-Sep,02-Oct,520568 07:57 GB -ORG -02 ,Plastic ,Ambi ent ,Refrigerated 
590,,"Peppers, red, raw ",36.5,"Sainsbury’s, loose red pepper ",Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
591,36,"Peppers, red, raw ",36.6,"Morrisons, m ixed pepper s ",Morrisons ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Morrisons, Norwich ",02-Oct,04-Oct,Kcb7 5 0258 2263 ,Plastic ,Ambient ,
592,36,"Peppers, red, raw ",36.7,"The Co -operative, 3 British m ixed pepper s ",The Co -operative ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Co-operative , Wymondham ",,05-Oct,M038V NCE1U1 ,Plastic ,Ambient ,Refrigerated 
593,36,"Peppers, red, raw ",36.8,"Aldi, mixed Pepper s ",Aldi ,3 pack mixed ,26.09.2011 ,"Aldi, Norwich ",Best Before Date: ,Batch Number: 01438 3905 E 14:25 ,01438 3905 E 14:25 ,Plastic ,,Refrigerated 
594,36,"Peppers, red, raw ",36.9,"Tesco, Market Value, pepper s ",Tesco Market Value ,Minimum 3 fruits ,26.09.2011 ,"Tesco, Blue Boar Road, Norwich ",30-Sep,Batch Number: P33 12:22 52168101 BV01 ,P33 12:22 52168101 BV01 ,Net ,Ambient ,Refrigerated 
595,36,"Peppers, red, raw ",36.1,Market red pepper s ,Pack size: ,Purchase Date: 26.09.2011 ,26.09.2011 ,"Independent market stall, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
596,36,"Peppers, red, raw ",36.11,"Makro, peppers red ",Makro ,Count x3 pieces ,26.09.2011 ,"Makro, Norwich ",Best Before Date: ,Batch Number: 353935 24273 verp :KCB 480 Jul code:252 ,353935 24273 verp :KCB 480 Jul code:252 ,Plastic ,Ambient ,Refrigerated 
597,36,"Peppers, red, raw ",36.12,,Pack size: ,Purchase Date: 21.11.2011 ,21.11.2011 ,"Tesco, Blue Boar Road, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
598,36,"Peppers, red, raw ",36.13,"Tesco, twin pack pepper s ",Tesco ,2 pack ,21.11.2011 ,"Tesco, Blue Boar Road, Norwich ",,27-Nov,GZ ,Plastic ,Ambient ,Refrigerated 
599,36,"Peppers, r ed, raw ",36.14,"Asda, loose red pepper s ",Pack size: ,Purchase Date: 21.11.2011 ,21.11.2011 ,"Asda, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
600,,"Peppers, red, raw ",36.15,"Asda, mixed pepper s ",Asda ,3 fruit ,21.11.2011 ,"Asda, Norwich ",,27-Nov,450037,Plastic ,Ambient ,Refrigerated 
601,36,"Peppers, red, raw ",36.16,"Sainsbury’s, loose red pepper ",Pack size: ,Purchase Date: 21.11.2011 ,21.11.2011 ,"Sainsbury’s, Longwater, Norwich ",Best Before Date: ,Batch Number: ,Packaging: Plastic ,Plastic ,Ambient ,Refrigerated 
602,36,"Peppers , red, raw ",36.17,"Morrisons, organic twin p epper s ",Morrisons ,2 pcs ,21.11.2011 ,"Morrisons, Norwich ",24-Nov,25-Nov,GB-ORG -05 0901 ,Plastic ,Ambient ,Refrigerated 
603,36,"Peppers, red, raw ",36.18,,The Co -operative ,Purchase Date: 26.09.2011 ,26.09.2011 ,"The Co -operative, Wymondham ",Best Before Date: 25 Nov ,25-Nov,Supplied by M210 LG KCE114 ,Plastic ,Ambient ,Refrigerated 
604,36,"Peppers, red, raw ",36.19,"Oaklands, mixed p epper s ",Oaklands ,500g/3 pieces ,21.11.2011 ,"Lidl, Norwich ",Best Before Date: ,Batch Number: L-4603 W -385 ,L-4603 W -385 ,Plastic ,Ambient ,Refrigerated 
