Product Name,Weight,Packaging Details,Country,Food Group,Food_Category,Super_Category,Weight_Value,Weight_Unit,Normalized_Weight,Normalized_Unit
snacks a jacks chocolate chip rice cakes 180g,180g,Plastic,"France,United Kingdom",Cereals,Snack foods,Processed foods,180.0,g,180.0,g
cornish pasty,227 g,,"Jersey,United Kingdom",Cereals,Uncategorized,Other,227.0,g,227.0,g
strong white bread flour,1.5kg,Unknown Packaging,"France,United Kingdom",Cereals,Bakery products,Processed foods,1500.0,g,1500.0,g
muesli,500 g,fr:Sachet en plastique,France,Cereals,Uncategorized,Other,500.0,g,500.0,g
heritage flakes cereal,375g,Unknown Packaging,"France,États-Unis,Monde,en:États-Unis",Cereals,Cereals,Plant-based foods,375.0,g,375.0,g
,1 kg,"Plastic,Bag,Dry",France,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
oatly barista organic oat drink,1 L,Unknown Packaging,en:United Kingdom,Cereals,Non-alcoholic beverages,Beverages,1.0,l,,g
strawberry granola,1kg,Ldpe-packet,Royaume-Uni,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
choco shells,500 g,"Plastique, Sachet, Boîte, Carton, en:card-box","Belgique,France,Allemagne,Irlande,Pays-Bas,Royaume-Uni",Cereals,Uncategorized,Other,500.0,g,500.0,g
farine de sarrasin,1kg,"Bag, fr:Papier 11g","France,Germany",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
chicken mushroom,114 g,"Plastic, Pot, Foil-lid, Pp-pot, Foil-film, en:mixedPlasticFilm-wrapper","France, United Kingdom",Cereals,Uncategorized,Other,114.0,g,114.0,g
strong white flour,"1,5 kg",Paper-bag,United Kingdom,Cereals,Uncategorized,Other,5000.0,g,5000.0,g
basmati rice,1 kg,"Bag, MixedPlasticFilm-packet","United Kingdom,Ireland",Cereals,Uncategorized,Other,1000.0,g,1000.0,g
fruit and nut muesli,1kg,Unknown Packaging,United Kingdom,Cereals,Fruit,Plant-based foods,1000.0,g,1000.0,g
long grain rice - classic,250 g,en:mixedPlasticFilm-packet,"Ireland, en:united-kingdom",Cereals,Uncategorized,Other,250.0,g,250.0,g
bens mexican style,220 g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,220.0,g,220.0,g
bens express rice long grain 220g,220g,en:bag,"Spain, en:united-kingdom",Cereals,Uncategorized,Other,220.0,g,220.0,g
wholegrain malties,750g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,750.0,g,750.0,g
sante tropical muesli whole grain oat 350g,350 g,,"France, Morocco, en:tunisia",Cereals,Uncategorized,Other,350.0,g,350.0,g
nestle nesquik cereal 375g,375g,"Cardboard, Card-box","France,Royaume-Uni",Cereals,Cereals,Plant-based foods,375.0,g,375.0,g
wholegrain rice quinoa,250g,Unknown Packaging,United Kingdom,Cereals,Uncategorized,Other,250.0,g,250.0,g
keto nut granola,22 oz,Plastic,United States,Cereals,Nuts and seeds,Plant-based foods,623.7,g,623.7,g
super nutty granola,500 g,Unknown Packaging,en:gb,Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
honey nut corn flakes,500g,en:card-box,gb,Cereals,Nuts and seeds,Plant-based foods,500.0,g,500.0,g
crunchy nut clusters chocolate,400g,Unknown Packaging,gb,Cereals,Nuts and seeds,Plant-based foods,400.0,g,400.0,g
cheerios grandkids imp,12 OZ (340 G),Box,United States,Cereals,Uncategorized,Other,340.20000000000005,g,340.20000000000005,g
glass noodles,50g,"es:Bolsa de plástico,Kunststoff,PP","France,Germany,Spain,Czech Republic",Cereals,Uncategorized,Other,50.0,g,50.0,g
nutri-brex gluten free,375g,"1 cardboard box to recycle, 1 plastic bag no recycling instructions",United Kingdom,Cereals,Nuts and seeds,Plant-based foods,375.0,g,375.0,g
cuor di cereale con avena e gocce di cioccolato,220.0 g,Box,"France, Italy, en:morocco",Cereals,Cereals,Plant-based foods,220.0,g,220.0,g
stockwell co. muesli 1kg,1kg,en:bag,United Kingdom,Cereals,Uncategorized,Other,1000.0,g,1000.0,g
oat so simple - golden syrup flavor,720 g,,United Kingdom,Cereals,Uncategorized,Other,720.0,g,720.0,g
high protein choco crunch,500g,Unknown Packaging,en:gb,Cereals,Uncategorized,Other,500.0,g,500.0,g
super berry granola,500g,Unknown Packaging,en:United Kingdom,Cereals,Uncategorized,Other,500.0,g,500.0,g
