,Food Code,Food Name,Group,Super Group,Sale format(s)
335,14-870,"Almonds, flaked and ground",GA,Nuts and seeds,packet
336,14-897,"Almonds, toasted",GA,Nuts and seeds,packet
337,14-896,"Almonds, whole kernels",GA,Nuts and seeds,packet
338,14-895,"Breadnut seeds, dried",G,Nuts and seeds,packet
339,14-806,Betel nuts,GA,Nuts and seeds,packet
340,14-813,"Chestnuts, kernel only, raw",GA,Nuts and seeds,packet
341,14-889,"Coconut milk, retail",GA,Nuts and seeds,carton/tetrapak
342,14-874,"Hazelnuts, kernel only",GA,Nuts and seeds,packet
343,14-891,"Macadamia nuts, salted",G,Nuts and seeds,packet
344,14-875,"Marzipan, white and yellow, retail",GA,Nuts and seeds,packet
345,14-880,"Nuts, mixed",GA,Nuts and seeds,packet
346,14-892,"Peanut butter, smooth",GA,Nuts and seeds,jar
347,14-882,Peanuts and raisins,GA,Nuts and seeds,packet
348,14-840,"Pistachio nuts, kernel only, roasted and salted",GA,Nuts and seeds,packet
349,14-843,"Quinoa, raw",GA,Nuts and seeds,packet
350,14-845,Sunflower seeds,GA,Nuts and seeds,packet
351,14-879,"Walnuts, kernel only",GA,Nuts and seeds,packet
352,,"Apple sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar
353,17-705,Barbecue sauce,WC,"Soups, sauces and miscellaneous foods",
354,17-678,"Brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods",
355,17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods",can
356,17-719,Chilli sauce,WC,"Soups, sauces and miscellaneous foods",
357,,Cheese sauce,WCD,"Soups, sauces and miscellaneous foods",
358,17-345,"Chutney, tomato",WCG,"Soups, sauces and miscellaneous foods",jar
359,17-358,Cream of tartar,WY,"Soups, sauces and miscellaneous foods",sachet
360,17-715,"Dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods",
361,17-701,"Dressing, French",WCG,"Soups, sauces and miscellaneous foods",
362,17-717,"Dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods",
363,,"Guacamole, retail",WC,"Soups, sauces and miscellaneous foods",
364,17-360,Gelatine,WY,"Soups, sauces and miscellaneous foods",
365,17-724,Gravy instant granules,WY,"Soups, sauces and miscellaneous foods",
366,,"Hollandaise sauce, retail",WC,"Soups, sauces and miscellaneous foods",jar
367,,"Hollandaise sauce, Vegan, retail",WC,"Soups, sauces and miscellaneous foods",jar
368,17-654,"Mayonnaise, standard, retail",WCG,"Soups, sauces and miscellaneous foods",
369,17-364,"Mustard, smooth",WY,"Soups, sauces and miscellaneous foods",jar
370,17-623,"Pesto, red",WC,"Soups, sauces and miscellaneous foods",jar
371,17-718,"Pickle, sweet",WCG,"Soups, sauces and miscellaneous foods",jar
