,Food Code,Food Name,Food sub-group codes,Food Group,Sale format(s),Source,Similarity Score,Weight,PurEqualCon,Portion Consumed
201,14-377,pineapple flesh with skin and top,FA,Fruit,"loose, individual",,0.412167086,,,
202,14-211,pineapple in juice whole contents,FA,Fruit,"loose, individual",,0.415927116,,,
203,14-396,pineapple dried,FA,Fruit,"loose, individual",,0,,,
204,14-220,plums victoria flesh and skin,FA,Fruit,,,0.324623371,,,
205,14-227,pomegranate flesh and pips weighed with skin,FA,Fruit,"loose, individual",,0.412167086,,,
206,14-285,passion fruit juice,FC,Fruit,"carton, tetrapak, bottle",,0.646406571,200g,Y,individual carton
207,14-179,passion fruit flesh and pips weighed with skin,FA,Fruit,,,0.38292274,,,
208,14-341,pomegranate juice drink,FC,Fruit,"carton, tetrapak, bottle",,0.492970225,,,
209,14-227,pomegranate flesh and pips weighed with skin,FA,Fruit,,,0.412167086,,,
210,14-289,prune juice,FC,Fruit,"carton, tetrapak, bottle",,0.522257395,,,
211,14-237,prunes in juice whole contents,FA,Fruit,tin,,0.415927116,,,
212,14-231,prunes flesh and skin,FA,Fruit,,,0.324623371,,,
213,14-391,prunes ready-to-eat semi-dried,FA,Fruit,,,0.695211487,125g,Y,per pot
214,14-393,raisins dried,FA,Fruit,packet,,0.642766851,44g,Y,packet
215,14-375,raspberries,FA,Fruit,punnet,,0,,,
216,14-249,redcurrants,FA,Fruit,punnet,,0,,,
217,14-252,rhubarb stems only,FA,Fruit,bunch,,0,,,
218,14-059,star fruit,FA,Fruit,"loose, individual",,0.44536635,,,
219,14-324,strawberries,FA,Fruit,punnet,,0,,,
220,14-268,whitecurrants,FA,Fruit,punnet,,0,,,
221,13-801,allspice ground,H,Herbs and spices,spice jar,,0,,,
222,13-802,anise seeds,H,Herbs and spices,spice jar,,0,,,
223,13-803,asafoetida,H,Herbs and spices,,,0,,,
224,13-805,basil dried ground,H,Herbs and spices,spice jar,,0,,,
225,13-804,basil fresh,H,Herbs and spices,bunch,,0,,,
226,13-808,caraway seeds,H,Herbs and spices,spice jar,,0,,,
227,13-809,cardamom ground,H,Herbs and spices,spice jar,,0,,,
228,13-810,celery seeds,H,Herbs and spices,spice jar,,0,,,
229,13-811,chervil dried,H,Herbs and spices,spice jar,,0,,,
230,13-873,chilli powder,H,Herbs and spices,spice jar,,0.407783198,,,
231,13-813,chinese 5 spice,H,Herbs and spices,spice jar,,0.414587918,,,
232,13-887,chives fresh,H,Herbs and spices,bunch,,0,,,
233,13-874,cinnamon ground,H,Herbs and spices,spice jar,,0,,,
234,13-816,cloves dried,H,Herbs and spices,spice jar,,0,,,
