,Food Code,Food Name,Group,Super Group
22,11-763,"Breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products
23,11-742,"Breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products
24,11-779,"Breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products
25,11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",AI,Cereals and cereal products
26,11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products
27,11-753,"Breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products
28,11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",AI,Cereals and cereal products
29,11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",AI,Cereals and cereal products
30,11-821,"Biscuits, cheese flavoured",AM,Cereals and cereal products
31,11-815,"Biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products
32,11-799,"Biscuits, digestive, plain",AM,Cereals and cereal products
33,11-809,"Biscuits, fully coated with chocolate",AM,Cereals and cereal products
34,11-801,"Biscuits, plain, reduced fat",AM,Cereals and cereal products
35,11-826,"Breadsticks, plain",AM,Cereals and cereal products
36,11-1029,"Banana bread, homemade",AN,Cereals and cereal products
37,11-1127,"Brownies, chocolate, homemade",AN,Cereals and cereal products
38,11-970,"Bagels, plain",AP,Cereals and cereal products
39,11-1038,"Bread pudding, homemade",AS,Cereals and cereal products
40,12-500,"Baking fat and margarine (75-90% fat), hard block",BTM,Milk and milk products
41,13-532,"Baked beans, canned in tomato sauce",DB,Vegetables
42,13-041,"Beans, aduki, whole, dried, raw",DB,Vegetables
43,13-062,"Beans, blackeye, whole, dried, raw",DB,Vegetables
44,13-070,"Beans, butter, dried, raw",DB,Vegetables
45,13-074,"Beans, chick peas, Kabuli, whole, dried, raw",DB,Vegetables
46,13-080,"Beans, cluster, raw",DB,Vegetables
47,13-667,"Beans, edamame, frozen, boiled in unsalted water",DB,Vegetables
48,13-514,"Beans, green, raw",DB,Vegetables
49,13-086,"Beans, haricot, whole, dried, raw",DB,Vegetables
50,13-098,"Beans, mung, dahl, dried, raw",DB,Vegetables
51,13-102,"Beans, pigeon peas, whole, dried, raw",DB,Vegetables
52,13-106,"Beans, pinto, dried, raw",DB,Vegetables
53,13-109,"Beans, red kidney, dried, raw",DB,Vegetables
54,13-112,"Beans, runner, raw",DB,Vegetables
55,13-115,"Beans, soya, dried, raw",DB,Vegetables
56,13-117,"Beans, sword, raw",DB,Vegetables
57,13-426,"Beansprouts, mung, raw",DB,Vegetables
58,13-056,"Black gram, urad gram, whole, dried, raw",DB,Vegetables
59,13-164,"Beetroot, raw",DG,Vegetables
60,13-167,"Breadfruit, raw",DG,Vegetables
61,13-502,"Broccoli, green, raw",DG,Vegetables
62,13-174,"Broccoli, purple sprouting, raw",DG,Vegetables
63,13-177,"Brussels sprouts, raw",DG,Vegetables
64,15-664,"Bean loaf, mixed beans, homemade",DR,Vegetables
65,15-667,"Beanburger, red kidney bean, fried in rapeseed oil",DR,Vegetables
66,15-669,"Bhaji, aubergine and potato, homemade",DR,Vegetables
67,15-672,"Bhaji, cabbage and pea, with butter ghee, homemade",DR,Vegetables
68,15-676,"Bhaji, carrot, potato and pea, with butter, homemade",DR,Vegetables
69,15-703,"Bubble and squeak, fried in sunflower oil, homemade",DR,Vegetables
70,14-364,"Blackberry and apple, stewed without sugar",F,Fruit
71,14-043,"Babaco, flesh only",FA,Fruit
72,14-318,"Bananas, flesh only",FA,Fruit
73,14-388,"Blackberries, raw",FA,Fruit
74,14-053,"Blackcurrants, raw",FA,Fruit
75,14-325,Blueberries,FA,Fruit
76,14-895,"Breadnut seeds, dried",G,Nuts and Seeds
77,14-806,Betel nuts,GA,Nuts and Seeds
78,13-805,"Basil, dried, ground",H,Herbs and Spices
79,13-804,"Basil, fresh",H,Herbs and Spices
80,16-385,"Bass, sea, flesh only, raw",JA,Fish and Fish Products
81,16-003,"Bele, raw",JA,Fish and Fish Products
82,16-004,"Boal, raw",JA,Fish and Fish Products
83,16-005,Bombay duck,JA,Fish and Fish Products
84,16-006,"Bream, Sea, raw",JA,Fish and Fish Products
85,16-169,"Bacha, raw",JC,Fish and Fish Products
86,19-646,"Bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products
87,18-006,"Beef, braising steak, raw, lean",MAC,Meat and meat products
88,18-003,"Beef, fat, average, raw",MAC,Meat and meat products
89,18-016,"Beef, fillet steak, raw, lean",MAC,Meat and meat products
90,18-024,"Beef, flank, raw, lean",MAC,Meat and meat products
91,18-028,"Beef, fore-rib/rib-roast, raw, lean",MAC,Meat and meat products
92,18-468,"Beef, lean, average, raw",MAC,Meat and meat products
93,18-469,"Beef, mince, raw",MAC,Meat and meat products
94,18-043,"Beef, rump steak, raw, lean",MAC,Meat and meat products
95,18-054,"Beef, silverside, raw, lean",MAC,Meat and meat products
96,18-064,"Beef, sirloin steak, raw, lean",MAC,Meat and meat products
97,18-076,"Beef, stewing steak, raw, lean",MAC,Meat and meat products
98,18-084,"Beef, topside, raw, lean",MAC,Meat and meat products
99,18-392,"Brain, lamb, boiled",MG,Meat and meat products
100,19-113,"Black pudding, raw",MI,Meat and meat products
101,17-685,"Butter, salted",OA,Fats and Oils
102,17-661,"Butter, unsalted",OA,Fats and Oils
103,17-001,"Butteroil, unsalted",OB,Fats and Oils
104,17-823,"Build up, powder, shake, assorted flavours",PAA,Beverages
105,17-743,"Barley water, undiluted",PCC,Beverages
106,17-737,"Blackcurrant juice drink/squash, undiluted",PCC,Beverages
107,17-208,"Beer, bitter, best, premium",QA,Alcoholic beverages
108,17-766,Bounty bar and own brand equivalents,SEA,"Sugars, preserves and snacks"
109,17-764,Bombay mix,SN,"Sugars, preserves and snacks"
110,17-770,"Bouillabaisse, homemade",WAA,"Soups, sauces and miscellaneous foods"
111,17-769,"Barbecue sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
112,17-771,"Bread sauce, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods"
113,17-705,Barbecue sauce,WCN,"Soups, sauces and miscellaneous foods"
114,17-678,"Brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods"
115,17-355,Baking powder,WY,"Soups, sauces and miscellaneous foods"
116,17-514,Beef extract,WY,"Soups, sauces and miscellaneous foods"
117,17-356,Bicarbonate of soda,WY,"Soups, sauces and miscellaneous foods"
0,11-011,"Cornmeal, sifted",AA,Cereals and cereal products
1,11-1138,Custard powder,AA,Cereals and cereal products
2,11-987,"Chapatis, made with fat, retail",AF,Cereals and cereal products
3,11-988,Croissants,AG,Cereals and cereal products
4,11-916,Cake rusks,AM,Cereals and cereal products
5,11-819,"Cereal bars, with fruit and/or nuts, no chocolate, unfortified",AM,Cereals and cereal products
6,11-824,"Cheese straws/twists, retail",AM,Cereals and cereal products
7,11-820,Cream crackers,AM,Cereals and cereal products
8,11-822,"Crispbread, rye",AM,Cereals and cereal products
9,11-832,"Cake, sponge, soft iced, retail",AN,Cereals and cereal products
10,11-840,Cakes from 'healthy eating' ranges,AN,Cereals and cereal products
11,11-839,"Cakes, fancy iced, individual, retail",AN,Cereals and cereal products
12,11-989,"Crumpets, toasted",AP,Cereals and cereal products
13,11-1020,"Crumble, fruit, retail",AS,Cereals and cereal products
14,11-997,"Cheese and onion rolls, pastry, retail",AT,Cereals and cereal products
15,11-901,"Couscous, plain, raw",AT,Cereals and cereal products
16,12-545,Cocoa powder,BH,Milk and milk products
17,12-592,"Cream, fresh, clotted",BJC,Milk and milk products
18,12-332,"Cream, fresh, single",BJC,Milk and milk products
19,12-333,"Cream, fresh, whipping",BJC,Milk and milk products
20,12-339,"Cream, dairy, UHT, half fat, canned spray",BJP,Milk and milk products
21,12-537,"Cheese spread, plain, reduced fat",BL,Milk and milk products
22,12-346,"Cheese, Cheddar, English",BL,Milk and milk products
23,12-550,"Cheese, cottage, plain, reduced fat",BL,Milk and milk products
24,12-354,"Cheese, Danish blue",BL,Milk and milk products
25,12-357,"Cheese, goats milk, full fat, soft, white rind",BL,Milk and milk products
26,12-360,"Cheese, Mozzarella, fresh",BL,Milk and milk products
27,12-549,"Cheese, processed, slices, reduced fat",BL,Milk and milk products
28,12-486,"Cheese, White Cheshire",BL,Milk and milk products
29,12-507,Cornetto type ice cream cone,BP,Milk and milk products
30,12-542,"Cheesecake, fruit, individual",BR,Milk and milk products
31,12-519,"Custard, made up with semi-skimmed milk",BR,Milk and milk products
32,13-582,"Cabbage, average, raw",DG,Vegetables
33,13-187,"Cabbage, Chinese, raw",DG,Vegetables
34,13-510,"Cabbage, green, raw",DG,Vegetables
35,13-190,"Cabbage, red, raw",DG,Vegetables
36,13-509,"Cabbage, white, raw",DG,Vegetables
37,13-496,"Carrots, old, raw",DG,Vegetables
38,13-448,"Carrots, young, raw",DG,Vegetables
39,13-512,"Cauliflower, raw",DG,Vegetables
40,13-219,"Celeriac, raw",DG,Vegetables
41,13-636,"Celery, raw",DG,Vegetables
42,13-223,"Chard, Swiss, raw",DG,Vegetables
43,13-225,"Chicory, pale variety, raw",DG,Vegetables
44,13-627,"Courgette, raw",DG,Vegetables
45,13-234,"Curly kale, raw",DG,Vegetables
46,13-668,"Courgette, dried",DI,Vegetables
47,15-638,"Casserole, vegetable, homemade",DR,Vegetables
48,15-637,"Cauliflower cheese, retail",DR,Vegetables
49,15-719,"Chilli, bean and lentil, homemade",DR,Vegetables
50,15-635,"Coleslaw, not low calorie, retail",DR,Vegetables
51,15-748,"Curry, chick pea, UK type, homemade",DR,Vegetables
52,15-752,"Curry, egg, in sweet sauce, UK type, homemade",DR,Vegetables
53,15-146,"Curry, red kidney bean, Punjabi, homemade",DR,Vegetables
54,14-382,"Cherries, flesh and skin, raw",FA,Fruit
55,14-326,"Citrus fruit, soft/easy peelers, flesh only",FA,Fruit
56,14-073,Cranberries,FA,Fruit
57,14-074,Currants,FA,Fruit
58,14-813,"Chestnuts, kernel only, raw",GA,Nuts and Seeds
59,14-889,"Coconut milk, retail",GA,Nuts and Seeds
60,13-808,Caraway seeds,H,Herbs and Spices
61,13-809,"Cardamom, ground",H,Herbs and Spices
62,13-810,Celery seeds,H,Herbs and Spices
63,13-811,"Chervil, dried",H,Herbs and Spices
64,13-873,Chilli powder,H,Herbs and Spices
65,13-813,Chinese 5 spice,H,Herbs and Spices
66,13-887,"Chives, fresh",H,Herbs and Spices
67,13-874,"Cinnamon, ground",H,Herbs and Spices
68,13-816,"Cloves, dried",H,Herbs and Spices
69,13-818,"Coriander leaves, dried",H,Herbs and Spices
70,13-889,Cumin seeds,H,Herbs and Spices
71,13-876,Curry powder,H,Herbs and Spices
72,16-428,"Cod, in batter, fried in sunflower oil, takeaway",J,Fish and Fish Products
73,16-172,"Carp, raw",JA,Fish and Fish Products
74,16-007,"Catfish, raw",JA,Fish and Fish Products
75,16-011,"Chital, raw",JA,Fish and Fish Products
76,16-373,"Cod, flesh only, baked",JA,Fish and Fish Products
77,16-429,"Coley, flesh only, baked",JA,Fish and Fish Products
78,16-452,"Crab, canned in brine, drained",JK,Fish and Fish Products
79,16-441,"Crab, purchased cooked",JK,Fish and Fish Products
80,16-235,"Crayfish, raw",JK,Fish and Fish Products
81,16-404,"Calamari, coated in batter, baked",JM,Fish and Fish Products
82,16-252,"Cockles, boiled",JM,Fish and Fish Products
83,16-254,"Cuttlefish, raw",JM,Fish and Fish Products
84,16-272,"Caviare, bottled in brine, drained",JR,Fish and Fish Products
85,18-504,"Chicken breast/steak, coated, baked",MCA,Meat and meat products
86,18-501,"Chicken pieces, coated, takeaway",MCA,Meat and meat products
87,18-293,"Chicken, leg quarter, raw, meat and skin",MCA,Meat and meat products
88,18-488,"Chicken, meat, average, raw",MCA,Meat and meat products
89,18-297,"Chicken, whole, raw, meat and skin",MCA,Meat and meat products
90,18-295,"Chicken, wing quarter, raw, meat and skin",MCA,Meat and meat products
91,18-503,"Chicken/turkey pieces, coated, baked",MCA,Meat and meat products
92,19-538,Chicken slices,MI,Meat and meat products
93,19-516,Chorizo,MI,Meat and meat products
94,19-128,"Corned beef, canned",MI,Meat and meat products
95,19-296,"Curry, chicken tikka masala, retail, reheated",MIG,Meat and meat products
96,19-484,"Casserole, sausage, homemade",MR,Meat and meat products
97,19-321,"Chow mein, chicken, takeaway",MR,Meat and meat products
98,19-466,"Cornish pasty, retail",MR,Meat and meat products
99,19-477,"Coronation chicken, homemade",MR,Meat and meat products
100,17-002,Cocoa butter,OE,Fats and Oils
101,17-632,"Coffee, cappuccino, latte",P,Beverages
102,17-175,Cola,PCA,Beverages
103,17-744,Cranberry fruit juice drink,PE,Beverages
104,17-224,"Cider, sweet",QC,Alcoholic beverages
105,17-659,Chocolate spread,SC,"Sugars, preserves and snacks"
106,17-658,Chocolate covered bar with caramel and cereal,SEA,"Sugars, preserves and snacks"
107,17-763,Creme egg,SEA,"Sugars, preserves and snacks"
108,17-645,Corn snacks,SN,"Sugars, preserves and snacks"
109,17-782,"Chevda/chevra/chewra, homemade",SNC,"Sugars, preserves and snacks"
110,17-697,"Chicken soup, cream of, canned, condensed, as served",WAC,"Soups, sauces and miscellaneous foods"
111,17-719,Chilli sauce,WC,"Soups, sauces and miscellaneous foods"
112,17-773,"Cheese sauce, made with skimmed milk, homemade",WCD,"Soups, sauces and miscellaneous foods"
113,17-345,"Chutney, tomato",WCG,"Soups, sauces and miscellaneous foods"
114,17-358,Cream of tartar,WY,"Soups, sauces and miscellaneous foods"
0,11-850,"Doughnuts, ring, iced",AP,Cereals and cereal products
1,11-849,"Doughnuts, with jam",AP,Cereals and cereal products
2,11-962,"Dumplings, homemade",AT,Cereals and cereal products
3,12-398,"Desserts, dairy, chocolate",BR,Milk and milk products
4,14-077,"Damsons, flesh and skin, raw",FA,Fruit
5,14-083,"Dates, raw, flesh and skin",FA,Fruit
6,14-087,Dried mixed fruit,FA,Fruit
7,13-824,"Dill, fresh",H,Herbs and Spices
8,18-489,"Duck, meat only, raw",MCC,Meat and meat products
9,19-539,"Doner kebabs, meat only",MR,Meat and meat products
10,17-487,"Dripping, beef",OF,Fats and Oils
11,17-498,"Drinking chocolate, powder",PAA,Beverages
12,17-715,"Dressing, blue cheese",WCG,"Soups, sauces and miscellaneous foods"
13,17-701,"Dressing, French",WCG,"Soups, sauces and miscellaneous foods"
14,17-717,"Dressing, thousand island",WCG,"Soups, sauces and miscellaneous foods"
0,12-937,"Eggs, chicken, whole, raw",CA,Eggs
1,14-089,"Elderberries, whole fruit",FA,Fruit
2,16-173,"Eel, yellow, raw",JC,Fish and fish products
3,19-586,"Enchiladas, beef, homemade",MR,Meat and meat products
4,17-672,"Energy drink, carbonated",PCA,Beverages
0,11-899,"Flour, gari (cassava flour)",AA,Cereals and cereal products
1,11-886,"Flour, wheat, white, plain, soft",AA,Cereals and cereal products
2,11-805,Fig Rolls,AM,Cereals and cereal products
3,11-814,"Flapjacks, retail",AM,Cereals and cereal products
4,12-528,"Fromage frais, virtually fat free, natural",BN,Milk and milk products
5,12-232,"Fruit fool, homemade",BR,Milk and milk products
6,13-241,"Fennel, Florence, raw",DG,Vegetables
7,13-243,"Fenugreek leaves, raw",DG,Vegetables
8,15-804,"Flan, vegetable, homemade",DR,Vegetables
9,15-807,"Fu-fu, yam, homemade",DR,Vegetables
10,14-091,"Figs, whole green fruit, raw",FA,Fruit
11,14-336,"Fruit cocktail, canned in juice, whole contents",FA,Fruit
12,14-333,"Fruit salad, homemade",FA,Fruit
13,16-405,"Fish fingers, cod, grilled/baked",JR,Fish and fish products
14,16-458,"Fishcakes, cod, homemade",JR,Fish and fish products
15,19-495,Frankfurter,MI,Meat and meat products
16,19-131,"Faggots in gravy, retail, reheated",MR,Meat and meat products
17,17-735,"Fruit juice drink, carbonated, ready to drink",PCA,Beverages
18,17-738,"Fruit juice drink/squash, undiluted",PCC,Beverages
19,17-107,Fruit gums/jellies,SEC,"Sugars, preserves and snacks"
20,17-824,Fruit pastilles,SEC,"Sugars, preserves and snacks"
21,17-683,"Fudge, homemade",SEC,"Sugars, preserves and snacks"
0,11-1079,"Gingerbread, homemade",AN,Cereals and cereal products
1,12-502,Ghee made from vegetable oil,BTM,Milk and milk products
2,13-244,"Garlic, raw",DG,Vegetables
3,13-245,"Gherkins, raw",DG,Vegetables
4,13-608,"Green beans, dried",DI,Vegetables
5,14-100,"Gooseberries, cooking, raw",FA,Fruit
6,14-384,"Grapefruit, flesh only, raw",FA,Fruit
7,14-322,"Grapes, green",FA,Fruit
8,14-118,"Guava, flesh only, raw",FA,Fruit
9,13-829,Garam masala,H,Herbs and spices
10,13-830,Garlic powder,H,Herbs and spices
11,13-890,"Ginger, fresh",H,Herbs and spices
12,13-832,"Ginger, ground",H,Herbs and spices
13,17-640,"Ghee, butter",OF,Meat and meat products
14,17-745,"Grape juice, unsweetened",PE,Beverages
15,17-049,"Glucose liquid, BP",SC,"Sugars, preserves and snacks"
16,17-797,"Guacamole, homemade",WC,"Soups, sauces and miscellaneous foods"
17,17-360,Gelatine,WY,"Soups, sauces and miscellaneous foods"
18,17-724,Gravy instant granules,WY,"Soups, sauces and miscellaneous foods"
0,11-1084,"Hot cross buns, homemade",AP,Cereals and cereal products
1,13-556,Houmous,DB,Vegetables
2,13-258,"Horseradish, raw",DG,Vegetables
3,14-874,"Hazelnuts, kernel only",GA,Nuts and seeds
4,16-375,"Haddock, flesh only, raw",JA,Fish and fish products
5,16-070,"Hake, flesh only, raw",JA,Fish and fish products
6,19-496,Ham,MAA,Meat and meat products
7,19-132,"Haggis, boiled",MI,Meat and meat products
8,19-522,"Hot pot, lamb/beef with potatoes, retail, reheated",MR,Meat and meat products
9,17-731,"Horlicks, powder",PAA,Beverages
10,17-050,Honey,SC,"Sugars, preserves and snacks"
11,17-800,"Hollandaise sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
0,12-508,"Ice cream, dairy, vanilla, soft scoop",BP,Milk and milk products
1,12-509,"Ice cream, non dairy, vanilla, soft scoop",BP,Milk and milk products
2,17-783,"Icing, butter, homemade",S,"Sugars, preserves and snacks"
3,17-689,"Ice cream sauce, topping, strawberry and chocolate flavours",SC,"Sugars, preserves and snacks"
0,11-739,Jaffa cakes,AM,Cereals and cereal products
1,11-846,"Jam tarts, retail",AS,Cereals and cereal products
2,12-516,"Jelly, sugar free, made with water",BR,Milk and milk products
3,17-075,"Jam, reduced sugar",SC,"Sugars, preserves and snacks"
0,12-605,"Knickerbocker glory, homemade",BP,Milk and milk products
1,12-606,"Kulfi, homemade",BP,Milk and milk products
2,13-261,"Kohl rabi, raw",DG,Vegetables
3,15-809,Khadhi,DR,Vegetables
4,14-371,"Kiwi fruit, flesh only, raw",FA,Fruit
5,14-125,"Kumquats, whole fruit, raw",FA,Fruit
6,16-081,"Kalabasu, raw",JA,Fish and fish products
7,16-186,"Katla, raw",JA,Fish and fish products
8,16-397,"Kippers, flesh only, grilled",JC,Fish and fish products
9,18-402,"Kidney, lamb, raw",MG,Meat and meat products
0,12-373,"Lassi, sweetened",BN,Milk and milk products
1,12-390,"Lollies, containing ice-cream",BP,Milk and milk products
2,12-389,"Lollies, with real fruit juice",BP,Milk and milk products
3,13-089,"Lentils, green and brown, whole, dried, raw",DB,Vegetables
4,13-624,"Leeks, raw",DG,Vegetables
5,13-520,"Lettuce, average, raw",DG,Vegetables
6,13-271,"Lotus tubers, raw",DG,Vegetables
7,15-651,"Lasagne, vegetable, retail",DR,Vegetables
8,14-128,"Lemons, whole, without pips",FA,Fruit
9,14-131,"Limes, flesh only",FA,Fruit
10,14-133,"Loganberries, raw",FA,Fruit
11,14-278,"Lemon juice, fresh, weighed as whole fruit",FC,Fruit
12,16-332,"Lobster, boiled",JK,Fish and fish products
13,18-478,"Lamb, average, raw, lean and fat",MAE,Meat and meat products
14,18-111,"Lamb, breast, raw, lean",MAE,Meat and meat products
15,18-115,"Lamb, chump chops, raw, lean and fat",MAE,Meat and meat products
16,18-481,"Lamb, mince, raw",MAE,Meat and meat products
17,18-413,"Liver, lamb, raw",MG,Meat and meat products
18,19-136,"Luncheon meat, Chinese, steamed",MI,Meat and meat products
19,17-010,Lard,OF,Fats and oils
20,17-179,Lemonade,PCA,Beverages
21,17-761,Lucozade,PCA,Beverages
22,17-751,"Lager, premium",QA,Beverages
23,17-244,"Liqueurs, high strength",QI,Beverages
24,17-777,Liquorice allsorts,SEC,"Sugars, preserves and snacks"
0,11-001,Arrowroot,AA,Cereals and cereal products
1,13-145,"Ackee, canned, drained",DG,Vegetables
2,13-146,"Agar, dried",DG,Vegetables
3,13-148,"Alfalfa sprouts, raw",DG,Vegetables
4,13-149,"Amaranth leaves, raw",DG,Vegetables
5,13-151,"Arrowhead, raw",DG,Vegetables
6,13-153,"Artichoke, globe, raw",DG,Vegetables
7,13-157,"Asparagus, raw",DG,Vegetables
8,13-161,"Aubergine, raw",DG,Vegetables
9,15-001,"Aubergine, stuffed with lentils and vegetables",DR,Vegetables
10,15-662,"Aubergine, stuffed with rice",DR,Vegetables
11,15-663,"Aubergine, stuffed with vegetables, cheese topping",DR,Vegetables
12,14-363,"Apples, cooking, raw, flesh only, weighed with skin and core",F,Fruit
13,14-001,Amla,FA,Fruit
14,14-025,"Apricots, raw, flesh and skin",FA,Fruit
15,14-392,"Apricots, ready-to-eat, semi-dried",FA,Fruit
16,14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",FA,Fruit
17,14-387,"Avocado, Hass, flesh only, weighed with skin and stone",FA,Fruit
18,14-331,"Apple juice, clear, ambient and chilled",FC,Fruit
19,14-870,"Almonds, flaked and ground",GA,Nuts and Seeds
20,14-897,"Almonds, toasted",GA,Nuts and Seeds
21,14-896,"Almonds, whole kernels",GA,Nuts and Seeds
22,13-801,"Allspice, ground",H,Herbs and Spices
23,13-802,Anise seeds,H,Herbs and Spices
24,13-803,Asafoetida,H,Herbs and Spices
25,16-001,"Ayr, raw",JA,Fish and Fish Products
26,16-448,"Anchovies, canned in oil, drained",JC,Fish and Fish Products
27,14-272,"Apple juice concentrate, unsweetened, commerical",PE,Beverages
28,17-851,"Apple sauce, homemade",WC,"Soups, sauces and miscellaneous foods"
29,11-002,"Barley, pearl, raw",AA,Cereals and cereal products
30,11-906,"Bran, wheat",AA,Cereals and cereal products
31,11-006,"Buckwheat, groats",AA,Cereals and cereal products
32,11-1144,"Bread rolls, brown, crusty",AF,Cereals and cereal products
33,11-1006,"Bread rolls, white, soft",AF,Cereals and cereal products
34,11-971,"Bread, brown, average",AF,Cereals and cereal products
35,11-969,"Bread, ciabatta",AF,Cereals and cereal products
36,11-937,"Bread, garlic and herb, retail",AF,Cereals and cereal products
37,11-910,"Bread, naan, peshwari naan, takeaway and retail",AF,Cereals and cereal products
38,11-973,"Bread, naan, retail",AF,Cereals and cereal products
39,11-974,"Bread, pitta, white",AF,Cereals and cereal products
40,11-947,"Bread, seeded",AF,Cereals and cereal products
41,11-1145,"Bread, white, average",AF,Cereals and cereal products
42,11-977,"Bread, white, farmhouse or split tin",AF,Cereals and cereal products
43,11-978,"Bread, white, French stick",AF,Cereals and cereal products
44,11-980,"Bread, white, sliced",AF,Cereals and cereal products
45,11-1001,"Bread, white, toasted",AF,Cereals and cereal products
46,11-981,"Bread, wholemeal, average",AF,Cereals and cereal products
47,11-983,"Bread rolls, brown, soft",AG,Cereals and cereal products
48,11-984,"Bread rolls, malted wheat",AG,Cereals and cereal products
49,11-985,"Bread rolls, white, crusty",AG,Cereals and cereal products
50,11-986,"Bread rolls, wholemeal",AG,Cereals and cereal products
51,11-763,"Breakfast cereal, bran flakes, fortified",AI,Cereals and cereal products
52,11-742,"Breakfast cereal, cornflakes, fortified",AI,Cereals and cereal products
53,11-779,"Breakfast cereal, fruit and fibre type, fortified",AI,Cereals and cereal products
54,11-755,"Breakfast cereal, honey loops and hoops, including Honey and Nut Cheerios, fortified",AI,Cereals and cereal products
55,11-792,"Breakfast cereal, instant hot oat, plain, raw, fortified",AI,Cereals and cereal products
56,11-753,"Breakfast cereal, rice, chocolate flavoured, fortified",AI,Cereals and cereal products
57,11-778,"Breakfast cereal, Shredded Wheat, honey nut, Nestle",AI,Cereals and cereal products
58,11-773,"Breakfast cereal, wheat biscuits, Weetabix type, fortified",AI,Cereals and cereal products
59,11-821,"Biscuits, cheese flavoured",AM,Cereals and cereal products
60,11-815,"Biscuits, cookies, chocolate chip, standard",AM,Cereals and cereal products
61,11-799,"Biscuits, digestive, plain",AM,Cereals and cereal products
62,11-809,"Biscuits, fully coated with chocolate",AM,Cereals and cereal products
