,Food Code,Food Name,Group,Super Group,Sale format(s),VJ comments
100,14-043,"Babaco, flesh only",FA,Fruit,"loose, individual",
101,14-318,"Bananas, flesh only",FA,Fruit,"loose, individual/bunch","for fruits, better to include version with skin included instead as this is how they'd typically be purchased"
102,14-388,"Blackberries, raw",FA,Fruit,punnet,
103,14-053,"Blackcurrants, raw",FA,Fruit,punnet,
104,14-325,Blueberries,FA,Fruit,punnet,
105,14-895,"Breadnut seeds, dried",G,Nuts and seeds,packet,
106,14-806,Betel nuts,GA,Nuts and seeds,packet,
107,13-805,"Basil, dried, ground",H,Herbs and spices,spice jar,
108,13-804,"Basil, fresh",H,Herbs and spices,bunch,
109,16-385,"Bass, sea, flesh only, raw",JA,Fish and fish products,fillet,
110,16-003,"Bele, raw",JA,Fish and fish products,fillet,
111,16-004,"Boal, raw",JA,Fish and fish products,fillet,
112,16-005,Bombay duck,JA,Fish and fish products,,
113,16-006,"Bream, Sea, raw",JA,Fish and fish products,fillet,
114,16-169,"Bacha, raw",JC,Fish and fish products,fillet,
115,19-646,"Bacon rashers, back, fat trimmed, raw",MAA,Meat and meat products,,
116,18-006,"Beef, braising steak, raw, lean",MAC,Meat and meat products,,
117,18-003,"Beef, fat, average, raw",MAC,Meat and meat products,,
118,18-016,"Beef, fillet steak, raw, lean",MAC,Meat and meat products,,
119,18-024,"Beef, flank, raw, lean",MAC,Meat and meat products,,
120,,"Beans, aduki, canned,",DB,Vegetables,can,
121,18-468,"Beef, lean, average, raw",MAC,Meat and meat products,,
122,18-469,"Beef, mince, raw",MAC,Meat and meat products,,
123,,"Beans, blackeye, whole, dried, ",DB,Vegetables, ,
124,18-054,"Beef, silverside, raw, lean",MAC,Meat and meat products,,
125,18-064,"Beef, sirloin steak, raw, lean",MAC,Meat and meat products,,
126,,"Beans, broad, whole, ",DB,Vegetables, ,
127,18-084,"Beef, topside, raw, lean",MAC,Meat and meat products,,
128,,"Beans, butter, canned",DB,Vegetables,can,
131,,"Beans, cannellini, canned",DB,Vegetables,can,
132,,"Beans, chick peas, canned",DB,Vegetables,can,
134,17-208,"Beer, bitter, best, premium",QA,Alcoholic beverages,"can, can multipack, bottle, bottle multipack",
135,,"Beans, chick peas, Kabuli, whole, dried, ",DB,Vegetables, ,
137,17-769,"Barbecue sauce, homemade",WC,"Soups, sauces and miscellaneous foods",,"I'd suggest removing this one as we only really need the retail version, whch we have below"
139,,"Beans, green, ",DB,Vegetables, ,
140,17-678,"Brown sauce, reduced salt/sugar",WCN,"Soups, sauces and miscellaneous foods",,
141,,"Beans, haricot, canned",DB,Vegetables,can,
142,,"Beans, haricot, whole, dried, ",DB,Vegetables, ,
143,11-011,"Cornmeal, sifted",AA,Cereals and cereal products,,
145,11-988,Croissants,AG,Cereals and cereal products,,
146,,"Beans, mung, whole, dried, ",DB,Vegetables, ,
147,,"Beans, pinto, canned, ",DB,Vegetables,can,
148,11-820,Cream crackers,AM,Cereals and cereal products,wrapper or box,
152,11-839,"Cakes, fancy iced, individual, retail",AN,Cereals and cereal products,,
154,11-1020,"Crumble, fruit, retail",AS,Cereals and cereal products,,
156,,"Beans, red kidney, canned",DB,Vegetables,can,
157,,"Beans, red kidney, dried, ",DB,Vegetables, ,
158,,"Beansprouts, mung, ",DB,Vegetables, ,
159,,"Beans, runner, ",DB,Vegetables, ,
160,12-333,"Cream, fresh, whipping",BJC,Milk and milk products,tub,
161,,"Beans, soya, dried, ",DB,Vegetables, ,
162,12-537,"Cheese spread, plain, reduced fat",BL,Milk and milk products,tub,
163,12-346,"Cheese, Cheddar, English",BL,Milk and milk products,block,
164,,"Beansprouts, mung, ",DB,Vegetables, ,
165,12-354,"Cheese, Danish blue",BL,Milk and milk products,,
166,12-357,"Cheese, goats milk, full fat, soft, white rind",BL,Milk and milk products,,
167,12-360,"Cheese, Mozzarella, fresh",BL,Milk and milk products,,
168,12-549,"Cheese, processed, slices, reduced fat",BL,Milk and milk products,,
169,12-486,"Cheese, White Cheshire",BL,Milk and milk products,,
170,12-507,Cornetto type ice cream cone,BP,Milk and milk products,,
171,12-542,"Cheesecake, fruit, individual",BR,Milk and milk products,,
172,12-519,"Custard, made up with semi-skimmed milk",BR,Milk and milk products,,
173,13-582,"Cabbage, average, raw",DG,Vegetables,"loose, individual",
174,13-187,"Cabbage, Chinese, raw",DG,Vegetables,"loose, individual",
175,13-510,"Cabbage, green, raw",DG,Vegetables,"loose, individual",
176,13-190,"Cabbage, red, raw",DG,Vegetables,"loose, individual",
177,13-509,"Cabbage, white, raw",DG,Vegetables,"loose, individual",
179,13-448,"Carrots, young, raw",DG,Vegetables,"loose, individual, bag",
180,13-512,"Cauliflower, raw",DG,Vegetables,"loose, individual",
181,13-219,"Celeriac, raw",DG,Vegetables,"loose, individual",
182,13-636,"Celery, raw",DG,Vegetables,"loose, individual",
183,13-223,"Chard, Swiss, raw",DG,Vegetables,"loose, individual",
184,13-225,"Chicory, pale variety, raw",DG,Vegetables,"loose, individual",
185,13-627,"Courgette, raw",DG,Vegetables,"loose, individual",
186,13-234,"Curly kale, raw",DG,Vegetables,bag,
187,13-668,"Courgette, dried",DI,Vegetables,,"Suggest removing this one, I've never seen dried courgette before"
188,15-638,"Casserole, vegetable, homemade",DR,Vegetables,,
189,15-637,"Cauliflower cheese, retail",DR,Vegetables,,
190,15-719,"Chilli, bean and lentil, homemade",DR,Vegetables,,
191,15-635,"Coleslaw, not low calorie, retail",DR,Vegetables,,
192,15-748,"Curry, chick pea, UK type, homemade",DR,Vegetables,,
193,15-752,"Curry, egg, in sweet sauce, UK type, homemade",DR,Vegetables,,
194,15-146,"Curry, red kidney bean, Punjabi, homemade",DR,Vegetables,"loose, individual",
195,14-382,"Cherries, flesh and skin, raw",FA,Fruit,punnet,
196,14-326,"Citrus fruit, soft/easy peelers, flesh only",FA,Fruit,net,
197,14-073,Cranberries,FA,Fruit,punnet,
198,14-074,Currants,FA,Fruit,packet,
