Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
15-802,"Flan, spinach, homemade",Recipe,DR,15-521 ,Updated 2014,,63.0,1.39,8.6,14.7,13.4,211,878,9.6,,1.8,0.3,,0.2,0.2,0.1,0.9,,1.4,N,,5.29,,,,,,,,6.00,,,,2.37,,,,,,0.15,49.9,Unknown,Unknown
15-803,"Flan, spinach, wholemeal, homemade",Recipe,DR,15-522 ,Updated 2014,,62.6,1.45,9.0,13.4,11.3,206,861,10.3,,1.9,0.3,,0.2,0.4,Tr,0.9,,2.3,N,,6.35,,,,,,,,4.32,,,,1.52,,,,,,0.36,65.3,Unknown,Unknown
15-804,"Flan, vegetable, homemade","Recipe from dietary survey records and dissection of shop-bought samples, containing short crust pastry, carrots, broccoli, cheese, white sauce and onions",DR,15-372 ,"Updated 2014. Vitamin K1 from Bolton-Smith et al, Br. J. Nutr 83, 2000",,58.9,0.88,5.3,15.6,18.2,229,958,15.2,,2.7,0.6,,0.4,0.8,0.2,0.6,,1.6,2.5,,6.68,,,,,,,,5.94,,,,1.98,,,,,,0.16,11.0,Unknown,Unknown
15-805,"Flan, vegetable, wholemeal, homemade",Recipe from dietary survey records and dissection of shop-bought samples,DR,15-523 ,Updated 2014,,63.5,0.88,5.4,11.9,16.7,191,800,13.7,,2.7,0.5,,0.4,1.0,0.1,0.7,,2.5,3.1,,7.26,,,,,,,,3.00,,,,0.61,,,,,,0.41,30.1,Unknown,Unknown
15-806,"Fu-fu, sweet potato, homemade",Recipe. West Indian/African dish. Sweet potato and rice flour.,DR,15-524 ,Updated 2014,,69.0,0.26,1.6,0.3,25.9,109,464,15.3,,N,N,,N,N,N,0.0,,2.3,N,,0.09,,,,,,,,Tr,,,,0.09,,,,,,Tr,0.0,Unknown,Unknown
15-807,"Fu-fu, yam, homemade",Recipe. West Indian/African dish. Yam and rice flour.,DR,15-525 ,Updated 2014,,59.5,0.35,2.1,0.3,37.4,155,658,36.8,,N,N,,N,N,N,0.0,,1.5,N,,0.09,,,,,,,,Tr,,,,0.09,,,,,,Tr,0.0,Unknown,Unknown
15-642,"Garlic mushrooms, not coated, homemade",Recipe from review of recipe collection,DR,15-373 ,Updated 2013,,77.8,0.45,1.2,14.1,0.5,134,552,0.1,,0.4,0.0,Tr,0.3,0.0,0.0,0.1,0.0,1.3,N,,8.85,,,,,,,,3.54,,,,0.60,,,,0.30,,0.49,36.1,Unknown,Unknown
15-809,Khadhi,Recipe. Gujerati dish. Yogurt with chick pea flour and spices.,DR,15-526 ,Updated 2014,,85.3,0.54,3.4,2.8,6.6,63,267,2.0,,4.5,Tr,,Tr,1.2,0.0,2.0,,0.5,N,,1.60,,,,,,,,0.75,,,,0.24,,,,,,0.07,7.9,Unknown,Unknown
15-810,Khatiyu,Recipe. Gujerati dish. Whole pigeon peas with jaggery and spices.,DR,15-527 ,Updated 2014,,54.6,1.36,8.5,7.0,25.8,192,813,19.9,,3.8,N,,N,N,0.0,0.0,,N,0.1,,0.54,,,,,,,,3.77,,,,2.18,,,,,,Tr,0.0,Unknown,Unknown
15-528,"Khichadi, with butter ghee",Recipe. Mung bean and rice dish.,DR,15-183 ,Recipe as VGD 15-183,,61.0,0.79,4.8,5.2,27.3,169,712,26.6,0.5,0.2,Tr,,Tr,0.1,0.0,Tr,,1.4,,,3.03,,,,,,,,1.25,,,,0.54,,,,,,N,11.7,Unknown,Unknown
