Food_Code,Food_Name,Description,Food_Group,Previous,Main data references,Footnote,Water (g),Total nitrogen (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal) (kcal),Energy (kJ) (kJ),Starch (g),Oligosaccharide (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g FA (g),Satd FA /100g fd (g),n-6 poly /100g FA (g),n-6 poly /100g food (g),n-3 poly /100g FA (g),n-3 poly /100g food (g),cis-Mono FA /100g FA (g),cis-Mono FA /100g Food (g),Mono FA/ 100g FA (g),Mono FA /100g food (g),cis-Polyu FA /100g FA (g),cis-Poly FA /100g Food (g),Poly FA /100g FA (g),Poly FA /100g food (g),Sat FA excl Br /100g FA (g),Sat FA excl Br /100g food (g),Branched chain FA /100g FA (g),Branched chain FA /100g food (g),Trans FAs /100g FA (g),Trans FAs /100g food (g),Cholesterol (mg),Food_Category,Super_Category
18-420,"Oxtail, meat only, stewed with added salt",12 sample,MG,50-493 ,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,53.9,4.88,30.5,13.4,0.0,243,1014,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,110.0,Unknown,Unknown
50-494,"Oxtail, meat only, stewed, weighed with fat and bones",Calculated from oxtail stewed,MG,,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,20.5,1.85,11.6,5.1,0.0,92,386,0.0,,0.0,,,,,,,0.0,0.0,,,N,,,,,,,,N,,,,N,,,,,,,N,Unknown,Unknown
18-419,"Oxtail, raw",12 samples,MG,,"MW4, 1978. Values reviewed for Meat, Poultry and Game Supplement, 1995.",,68.6,3.20,20.0,10.1,0.0,171,714,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,55.40,4.20,,,,,,,63.40,4.80,,,5.30,0.40,,,,,Tr,Tr,75.0,Unknown,Unknown
18-429,"Pork, trotters and tails, boiled with added salt",23% trotters and 77% pig tails. Salt added,MG,50-427 ,"As Meat, Poultry and Game Supplement, 1995",,53.5,3.17,19.8,22.3,0.0,280,1162,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,N,Unknown,Unknown
18-422,"Sweetbread, lamb, fried in corn oil",3 samples,MG,50-496 ,"LGC, Carcase meat and offal survey, 1982-1983",,57.7,4.59,28.7,11.4,0.0,217,910,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,N,Unknown,Unknown
18-421,"Sweetbread, lamb, raw","Thymus and pancreas, 12 samples",MG,50-495 ,"MW4, 1978; and Meat, Poultry and Game Supplement, 1995",,75.5,2.44,15.3,7.8,0.0,131,549,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,51.40,3.00,,,,,,,41.00,2.40,,,5.60,0.30,,,,,Tr,Tr,260.0,Unknown,Unknown
18-423,"Tongue, lamb, raw",20 samples,MG,50-497 ,"MW4 (1978). Values reviewed for Meat, Poultry and Game Supplement, 1995",,67.9,2.45,15.3,14.6,0.0,193,800,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,180.0,Unknown,Unknown
18-424,"Tongue, ox, meat only, pickled, raw","6 samples, fat and skin removed",MG,50-498 ,"MW4 (1978). Values reviewed for Meat, Poultry and Game Supplement, 1995",,62.4,2.51,15.7,17.5,0.0,220,914,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,78.0,Unknown,Unknown
18-425,"Tongue, ox, meat only, pickled, stewed",Fat and skin removed,MG,50-499 ,"MW4 (1978). Values reviewed for Meat, Poultry and Game Supplement, 1995",,48.6,3.12,19.5,23.9,0.0,293,1216,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,100.0,Unknown,Unknown
18-426,"Tongue, ox, meat only, stewed","10 samples, fat and skin removed",MG,,"LGC, Carcase meat and offal survey, 1982-1983",,58.9,3.10,19.4,18.3,0.0,242,1007,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,N,Unknown,Unknown
18-427,"Tongue, sheep, meat only, stewed",Fat and skin removed,MG,50-500 ,"MW4 (1978). Values reviewed for Meat, Poultry and Game Supplement, 1995",,56.9,2.91,18.2,24.0,0.0,289,1197,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,N,N,,,,,,,N,N,,,N,N,,,,,N,Tr,270.0,Unknown,Unknown
18-428,"Tripe, dressed, raw",6 samples,MG,50-501 ,"LGC, Nutritional analysis of meat and poultry products, 1994-1995",,92.1,1.14,7.1,0.5,0.0,33,139,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,48.40,0.20,,,,,,,43.80,0.20,,,6.10,Tr,,,,,4.80,Tr,64.0,Unknown,Unknown
50-502,"Tripe, dressed, stewed in milk",18 samples; lime treated before purchase,MG,18-457 ,"MW4, 1978. As MW 5-502  (note that full fatty acid data is available in obsoleted FA 18-457, sampling and fat values are not comparable)",,78.5,2.37,14.8,4.5,0.0,100,418,0.0,,Tr,,,,,,,0.0,0.0,,,2.40,,,,,,,,1.30,,,,0.10,,,,,,,160.0,Unknown,Unknown
